"dataset_name","technique","most_important_attribute"
"blood-transfusion-service-center","gbm","V2"
"blood-transfusion-service-center","gcvEarth","V3"
"blood-transfusion-service-center","JRip","V2"
"blood-transfusion-service-center","lvq","V4"
"blood-transfusion-service-center","mlpML","V3"
"blood-transfusion-service-center","multinom","V3"
"blood-transfusion-service-center","naive_bayes","V3"
"blood-transfusion-service-center","PART","V2"
"blood-transfusion-service-center","rbfDDA","V1"
"blood-transfusion-service-center","rda","V4"
"blood-transfusion-service-center","rf","V4"
"blood-transfusion-service-center","rpart","V2"
"blood-transfusion-service-center","simpls","V3"
"blood-transfusion-service-center","svmLinear","V1"
"blood-transfusion-service-center","svmRadial","V4"
"blood-transfusion-service-center","rfRules","V2"
"blood-transfusion-service-center","knn","V2"
"blood-transfusion-service-center","bayesglm","V2"
"breast-w","C5.0","Clump_Thickness"
"breast-w","ctree","Cell_Size_Uniformity"
"breast-w","fda","Bare_Nuclei"
"breast-w","gbm","Bare_Nuclei"
"breast-w","gcvEarth","Bare_Nuclei"
"breast-w","JRip","Cell_Size_Uniformity"
"breast-w","lvq","Clump_Thickness"
"breast-w","mlpML","Bare_Nuclei"
"breast-w","multinom","Bare_Nuclei"
"breast-w","naive_bayes","Marginal_Adhesion"
"breast-w","PART","Cell_Shape_Uniformity"
"breast-w","rbfDDA","Cell_Size_Uniformity"
"breast-w","rda","Cell_Size_Uniformity"
"breast-w","rf","Bare_Nuclei"
"breast-w","rpart","Cell_Size_Uniformity"
"breast-w","simpls","Bare_Nuclei"
"breast-w","svmLinear","Bare_Nuclei"
"breast-w","svmRadial","Cell_Size_Uniformity"
"breast-w","rfRules","Bare_Nuclei"
"breast-w","knn","Bare_Nuclei"
"breast-w","bayesglm","Bare_Nuclei"
"cardiotocography","C5.0","V27"
"cardiotocography","ctree","V27"
"cardiotocography","fda","V27"
"cardiotocography","gbm","V26"
"cardiotocography","gcvEarth","V27"
"cardiotocography","JRip","V31"
"cardiotocography","lvq","V35"
"cardiotocography","mlpML","V31"
"cardiotocography","multinom","V27"
"cardiotocography","naive_bayes","V6"
"cardiotocography","PART","V27"
"cardiotocography","rbfDDA","V26"
"cardiotocography","rda","V35"
"cardiotocography","rf","V27"
"cardiotocography","rpart","V27"
"cardiotocography","simpls","V27"
"cardiotocography","svmLinear","V31"
"cardiotocography","svmRadial","V26"
"cardiotocography","rfRules","V27"
"cardiotocography","knn","V35"
"cardiotocography","bayesglm","V26"
"climate-model-simulation-crashes","C5.0","vconst_2"
"climate-model-simulation-crashes","ctree","vconst_corr"
"climate-model-simulation-crashes","fda","vconst_corr"
"climate-model-simulation-crashes","gbm","vconst_corr"
"climate-model-simulation-crashes","gcvEarth","vconst_corr"
"climate-model-simulation-crashes","JRip","vconst_corr"
"climate-model-simulation-crashes","lvq","vconst_corr"
"climate-model-simulation-crashes","mlpML","vconst_corr"
"climate-model-simulation-crashes","multinom","vconst_corr"
"climate-model-simulation-crashes","naive_bayes","vconst_2"
"climate-model-simulation-crashes","PART","vconst_2"
"climate-model-simulation-crashes","rbfDDA","vconst_corr"
"climate-model-simulation-crashes","rda","vconst_corr"
"climate-model-simulation-crashes","rf","vconst_2"
"climate-model-simulation-crashes","rpart","vconst_corr"
"climate-model-simulation-crashes","simpls","vconst_corr"
"climate-model-simulation-crashes","svmLinear","vconst_corr"
"climate-model-simulation-crashes","svmRadial","vconst_corr"
"climate-model-simulation-crashes","rfRules","vconst_corr"
"climate-model-simulation-crashes","knn","bckgrnd_vdc1"
"climate-model-simulation-crashes","bayesglm","vconst_corr"
"cmc","C5.0","Number_of_children_ever_born"
"cmc","ctree","Number_of_children_ever_born"
"cmc","fda","Number_of_children_ever_born"
"cmc","gbm","Number_of_children_ever_born"
"cmc","gcvEarth","Number_of_children_ever_born"
"cmc","JRip","Number_of_children_ever_born"
"cmc","lvq","Number_of_children_ever_born"
"cmc","mlpML","Number_of_children_ever_born"
"cmc","multinom","Number_of_children_ever_born"
"cmc","naive_bayes","Number_of_children_ever_born"
"cmc","PART","Number_of_children_ever_born"
"cmc","rbfDDA","Number_of_children_ever_born"
"cmc","rda","Number_of_children_ever_born"
"cmc","rf","Number_of_children_ever_born"
"cmc","rpart","Wifes_age"
"cmc","simpls","Number_of_children_ever_born"
"cmc","svmLinear","Number_of_children_ever_born"
"cmc","svmRadial","Number_of_children_ever_born"
"cmc","rfRules","Number_of_children_ever_born"
"cmc","knn","Number_of_children_ever_born"
"cmc","bayesglm","Number_of_children_ever_born"
"credit-g","C5.0","checking_status"
"credit-g","ctree","checking_status"
"credit-g","fda","checking_status"
"credit-g","gbm","checking_status"
"credit-g","gcvEarth","checking_status"
"credit-g","JRip","duration"
"credit-g","lvq","duration"
"credit-g","mlpML","checking_status"
"credit-g","multinom","checking_status"
"credit-g","naive_bayes","checking_status"
"credit-g","PART","checking_status"
"credit-g","rbfDDA","credit_amount"
"credit-g","rda","checking_status"
"credit-g","rf","checking_status"
"credit-g","rpart","checking_status"
"credit-g","simpls","checking_status"
"credit-g","svmLinear","checking_status"
"credit-g","svmRadial","duration"
"credit-g","rfRules","checking_status"
"credit-g","knn","duration"
"credit-g","bayesglm","checking_status"
"diabetes","C5.0","plas"
"diabetes","ctree","plas"
"diabetes","fda","plas"
"diabetes","gbm","plas"
"diabetes","gcvEarth","plas"
"diabetes","JRip","plas"
"diabetes","lvq","plas"
"diabetes","mlpML","plas"
"diabetes","multinom","plas"
"diabetes","naive_bayes","plas"
"diabetes","PART","plas"
"diabetes","rbfDDA","plas"
"diabetes","rda","plas"
"diabetes","rf","plas"
"diabetes","rpart","plas"
"diabetes","simpls","plas"
"diabetes","svmLinear","plas"
"diabetes","svmRadial","plas"
"diabetes","rfRules","plas"
"diabetes","knn","plas"
"diabetes","bayesglm","plas"
"eucalyptus","C5.0","Vig"
"eucalyptus","ctree","Vig"
"eucalyptus","fda","Vig"
"eucalyptus","gbm","Vig"
"eucalyptus","gcvEarth","Vig"
"eucalyptus","JRip","Vig"
"eucalyptus","lvq","Vig"
"eucalyptus","mlpML","Vig"
"eucalyptus","multinom","Sp"
"eucalyptus","naive_bayes","Abbrev"
"eucalyptus","PART","Sp"
"eucalyptus","rbfDDA","Abbrev"
"eucalyptus","rda","Vig"
"eucalyptus","rf","Vig"
"eucalyptus","rpart","Vig"
"eucalyptus","simpls","Locality"
"eucalyptus","svmLinear","Sp"
"eucalyptus","svmRadial","Vig"
"eucalyptus","rfRules","Vig"
"eucalyptus","knn","Vig"
"eucalyptus","bayesglm","Sp"
"iris","C5.0","petallength"
"iris","ctree","petallength"
"iris","fda","petallength"
"iris","gbm","petallength"
"iris","gcvEarth","petallength"
"iris","JRip","petallength"
"iris","lvq","petalwidth"
"iris","mlpML","petallength"
"iris","multinom","petallength"
"iris","naive_bayes","petalwidth"
"iris","PART","petalwidth"
"iris","rbfDDA","petalwidth"
"iris","rda","petallength"
"iris","rf","petallength"
"iris","rpart","petallength"
"iris","simpls","petalwidth"
"iris","svmLinear","petallength"
"iris","svmRadial","petalwidth"
"iris","rfRules","petalwidth"
"iris","knn","petalwidth"
"iris","bayesglm","petallength"
"kc1","C5.0","l"
"kc1","ctree","d"
"kc1","fda","total_Opnd"
"kc1","gbm","total_Opnd"
"kc1","gcvEarth","total_Opnd"
"kc1","JRip","d"
"kc1","lvq","i"
"kc1","mlpML","d"
"kc1","multinom","total_Op"
"kc1","naive_bayes","lOBlank"
"kc1","PART","uniq_Op"
"kc1","rbfDDA","d"
"kc1","rda","t"
"kc1","rf","i"
"kc1","rpart","total_Opnd"
"kc1","simpls","d"
"kc1","svmLinear","v"
"kc1","svmRadial","d"
"kc1","rfRules","d"
"kc1","knn","i"
"kc1","bayesglm","total_Op"
"liver-disorders","C5.0","gammagt"
"liver-disorders","ctree","sgpt"
"liver-disorders","fda","gammagt"
"liver-disorders","gbm","sgpt"
"liver-disorders","gcvEarth","sgpt"
"liver-disorders","JRip","gammagt"
"liver-disorders","lvq","alkphos"
"liver-disorders","mlpML","sgpt"
"liver-disorders","multinom","sgot"
"liver-disorders","naive_bayes","gammagt"
"liver-disorders","PART","gammagt"
"liver-disorders","rbfDDA","alkphos"
"liver-disorders","rda","sgpt"
"liver-disorders","rf","gammagt"
"liver-disorders","rpart","gammagt"
"liver-disorders","simpls","sgpt"
"liver-disorders","svmLinear","sgpt"
"liver-disorders","svmRadial","sgpt"
"liver-disorders","rfRules","sgpt"
"liver-disorders","knn","sgpt"
"liver-disorders","bayesglm","sgot"
"mfeat-karhunen","C5.0","att1"
"mfeat-karhunen","ctree","att1"
"mfeat-karhunen","fda","att1"
"mfeat-karhunen","gbm","att1"
"mfeat-karhunen","gcvEarth","att1"
"mfeat-karhunen","JRip","att1"
"mfeat-karhunen","lvq","att4"
"mfeat-karhunen","mlpML","att1"
"mfeat-karhunen","multinom","att1"
"mfeat-karhunen","naive_bayes","att1"
"mfeat-karhunen","PART","att1"
"mfeat-karhunen","rbfDDA","att7"
"mfeat-karhunen","rda","att2"
"mfeat-karhunen","rf","att1"
"mfeat-karhunen","rpart","att3"
"mfeat-karhunen","simpls","att1"
"mfeat-karhunen","svmLinear","att4"
"mfeat-karhunen","svmRadial","att4"
"mfeat-karhunen","rfRules","att1"
"mfeat-karhunen","knn","att5"
"mfeat-karhunen","bayesglm","att1"
"mfeat-zernike","C5.0","att19"
"mfeat-zernike","ctree","att19"
"mfeat-zernike","fda","att19"
"mfeat-zernike","gbm","att19"
"mfeat-zernike","gcvEarth","att19"
"mfeat-zernike","JRip","att19"
"mfeat-zernike","lvq","att19"
"mfeat-zernike","mlpML","att19"
"mfeat-zernike","multinom","att4"
"mfeat-zernike","naive_bayes","att19"
"mfeat-zernike","PART","att19"
"mfeat-zernike","rbfDDA","att19"
"mfeat-zernike","rda","att46"
"mfeat-zernike","rf","att19"
"mfeat-zernike","rpart","att19"
"mfeat-zernike","simpls","att19"
"mfeat-zernike","svmLinear","att19"
"mfeat-zernike","svmRadial","att19"
"mfeat-zernike","rfRules","att29"
"mfeat-zernike","knn","att19"
"mfeat-zernike","bayesglm","att29"
"ozone-level-8hr","C5.0","V41"
"ozone-level-8hr","ctree","V42"
"ozone-level-8hr","fda","V33"
"ozone-level-8hr","gbm","V42"
"ozone-level-8hr","gcvEarth","V33"
"ozone-level-8hr","JRip","V42"
"ozone-level-8hr","lvq","V65"
"ozone-level-8hr","mlpML","V56"
"ozone-level-8hr","multinom","V31"
"ozone-level-8hr","naive_bayes","V72"
"ozone-level-8hr","PART","V21"
"ozone-level-8hr","rbfDDA","V1"
"ozone-level-8hr","rda","V18"
"ozone-level-8hr","rf","V42"
"ozone-level-8hr","rpart","V1"
"ozone-level-8hr","simpls","V1"
"ozone-level-8hr","svmLinear","V57"
"ozone-level-8hr","svmRadial","V42"
"ozone-level-8hr","rfRules","V10"
"ozone-level-8hr","knn","V11"
"ozone-level-8hr","bayesglm","V31"
"pc4","C5.0","LOC_CODE_AND_COMMENT"
"pc4","ctree","LOC_CODE_AND_COMMENT"
"pc4","fda","HALSTEAD_VOLUME"
"pc4","gbm","LOC_CODE_AND_COMMENT"
"pc4","gcvEarth","HALSTEAD_VOLUME"
"pc4","JRip","LOC_CODE_AND_COMMENT"
"pc4","lvq","LOC_CODE_AND_COMMENT"
"pc4","mlpML","LOC_CODE_AND_COMMENT"
"pc4","multinom","NODE_COUNT"
"pc4","naive_bayes","LOC_CODE_AND_COMMENT"
"pc4","PART","LOC_CODE_AND_COMMENT"
"pc4","rbfDDA","LOC_CODE_AND_COMMENT"
"pc4","rda","LOC_CODE_AND_COMMENT"
"pc4","rf","LOC_CODE_AND_COMMENT"
"pc4","rpart","LOC_CODE_AND_COMMENT"
"pc4","simpls","LOC_CODE_AND_COMMENT"
"pc4","svmLinear","LOC_CODE_AND_COMMENT"
"pc4","svmRadial","LOC_CODE_AND_COMMENT"
"pc4","rfRules","LOC_CODE_AND_COMMENT"
"pc4","knn","LOC_CODE_AND_COMMENT"
"pc4","bayesglm","MODIFIED_CONDITION_COUNT"
"phoneme","C5.0","V1"
"phoneme","ctree","V1"
"phoneme","fda","V4"
"phoneme","gbm","V1"
"phoneme","gcvEarth","V4"
"phoneme","JRip","V1"
"phoneme","lvq","V4"
"phoneme","mlpML","V1"
"phoneme","multinom","V4"
"phoneme","naive_bayes","V4"
"phoneme","PART","V1"
"phoneme","rbfDDA","V3"
"phoneme","rda","V1"
"phoneme","rf","V1"
"phoneme","rpart","V4"
"phoneme","simpls","V4"
"phoneme","svmLinear","V4"
"phoneme","svmRadial","V1"
"phoneme","rfRules","V4"
"phoneme","knn","V3"
"phoneme","bayesglm","V4"
"qsar-biodeg","C5.0","V3"
"qsar-biodeg","ctree","V1"
"qsar-biodeg","fda","V38"
"qsar-biodeg","gbm","V36"
"qsar-biodeg","gcvEarth","V38"
"qsar-biodeg","JRip","V36"
"qsar-biodeg","lvq","V25"
"qsar-biodeg","mlpML","V13"
"qsar-biodeg","multinom","V7"
"qsar-biodeg","naive_bayes","V20"
"qsar-biodeg","PART","V38"
"qsar-biodeg","rbfDDA","V13"
"qsar-biodeg","rda","V39"
"qsar-biodeg","rf","V36"
"qsar-biodeg","rpart","V36"
"qsar-biodeg","simpls","V14"
"qsar-biodeg","svmLinear","V13"
"qsar-biodeg","svmRadial","V8"
"qsar-biodeg","rfRules","V36"
"qsar-biodeg","knn","V20"
"qsar-biodeg","bayesglm","V7"
"tic-tac-toe","C5.0","middle_middle_square"
"tic-tac-toe","ctree","middle_middle_square"
"tic-tac-toe","fda","middle_middle_square"
"tic-tac-toe","gbm","middle_middle_square"
"tic-tac-toe","gcvEarth","middle_middle_square"
"tic-tac-toe","JRip","middle_middle_square"
"tic-tac-toe","lvq","middle_middle_square"
"tic-tac-toe","mlpML","middle_middle_square"
"tic-tac-toe","multinom","middle_middle_square"
"tic-tac-toe","naive_bayes","middle_middle_square"
"tic-tac-toe","PART","middle_middle_square"
"tic-tac-toe","rbfDDA","middle_middle_square"
"tic-tac-toe","rda","middle_middle_square"
"tic-tac-toe","rf","middle_middle_square"
"tic-tac-toe","rpart","middle_middle_square"
"tic-tac-toe","simpls","middle_middle_square"
"tic-tac-toe","svmLinear","middle_middle_square"
"tic-tac-toe","svmRadial","middle_middle_square"
"tic-tac-toe","rfRules","middle_middle_square"
"tic-tac-toe","knn","middle_middle_square"
"tic-tac-toe","bayesglm","middle_middle_square"
"vowel","C5.0","Feature_1"
"vowel","ctree","Feature_1"
"vowel","fda","Feature_1"
"vowel","gbm","Feature_1"
"vowel","gcvEarth","Feature_1"
"vowel","JRip","Feature_1"
"vowel","lvq","Feature_5"
"vowel","mlpML","Feature_1"
"vowel","multinom","Feature_1"
"vowel","naive_bayes","Feature_1"
"vowel","PART","Feature_1"
"vowel","rbfDDA","Feature_0"
"vowel","rda","Feature_1"
"vowel","rf","Feature_1"
"vowel","rpart","Feature_1"
"vowel","simpls","Feature_1"
"vowel","svmLinear","Feature_1"
"vowel","svmRadial","Feature_1"
"vowel","rfRules","Feature_1"
"vowel","knn","Feature_5"
"vowel","bayesglm","Feature_1"
"waveform-5000","C5.0","x11"
"waveform-5000","ctree","x11"
"waveform-5000","fda","x11"
"waveform-5000","gbm","x11"
"waveform-5000","gcvEarth","x11"
"waveform-5000","JRip","x11"
"waveform-5000","lvq","x11"
"waveform-5000","mlpML","x11"
"waveform-5000","multinom","x11"
"waveform-5000","naive_bayes","x11"
"waveform-5000","PART","x11"
"waveform-5000","rbfDDA","x12"
"waveform-5000","rda","x11"
"waveform-5000","rf","x11"
"waveform-5000","rpart","x11"
"waveform-5000","simpls","x11"
"waveform-5000","svmLinear","x11"
"waveform-5000","svmRadial","x11"
"waveform-5000","rfRules","x11"
"waveform-5000","knn","x11"
"waveform-5000","bayesglm","x11"
"wdbc","C5.0","V28"
"wdbc","ctree","V28"
"wdbc","fda","V24"
"wdbc","gbm","V22"
"wdbc","gcvEarth","V24"
"wdbc","JRip","V23"
"wdbc","lvq","V22"
"wdbc","mlpML","V22"
"wdbc","multinom","V4"
"wdbc","naive_bayes","V1"
"wdbc","PART","V28"
"wdbc","rbfDDA","V23"
"wdbc","rda","V1"
"wdbc","rf","V14"
"wdbc","rpart","V21"
"wdbc","simpls","V21"
"wdbc","svmLinear","V22"
"wdbc","svmRadial","V22"
"wdbc","rfRules","V24"
"wdbc","knn","V22"
"wdbc","bayesglm","V24"
"wilt","C5.0","Mean_R"
"wilt","ctree","Mean_R"
"wilt","fda","Mean_G"
"wilt","gbm","Mean_R"
"wilt","gcvEarth","Mean_R"
"wilt","JRip","Mean_R"
"wilt","lvq","GLCM_Pan"
"wilt","mlpML","Mean_R"
"wilt","multinom","Mean_G"
"wilt","naive_bayes","Mean_R"
"wilt","PART","Mean_R"
"wilt","rbfDDA","GLCM_Pan"
"wilt","rda","Mean_R"
"wilt","rf","Mean_R"
"wilt","rpart","Mean_R"
"wilt","simpls","GLCM_Pan"
"wilt","svmLinear","Mean_G"
"wilt","svmRadial","Mean_R"
"wilt","rfRules","Mean_G"
"wilt","knn","Mean_R"
"wilt","bayesglm","Mean_G"
