"dataset_name","technique","noise_level","threshold","critical_percentage","kappa_at_critical"
"breast-w","gcvEarth",10,0.05,100,0.01
"cardiotocography","gcvEarth",10,0.05,100,0
"climate-model-simulation-crashes","gcvEarth",10,0.05,100,0.05
"cmc","gcvEarth",10,0.05,60,0.05
"credit-g","gcvEarth",10,0.05,100,0.05
"diabetes","gcvEarth",10,0.05,100,0.04
"eucalyptus","gcvEarth",10,0.05,40,0.05
"iris","gcvEarth",10,0.05,100,0.05
"kc1","gcvEarth",10,0.05,20,0.04
"liver-disorders","gcvEarth",10,0.05,60,0.04
"mfeat-factors","gcvEarth",10,0.05,100,0.01
"mfeat-karhunen","gcvEarth",10,0.05,100,0.01
"mfeat-zernike","gcvEarth",10,0.05,100,0.01
"ozone-level-8hr","gcvEarth",10,0.05,70,0.05
"pc4","gcvEarth",10,0.05,30,0.05
"phoneme","gcvEarth",10,0.05,80,0.05
"qsar-biodeg","gcvEarth",10,0.05,100,0.03
"tic-tac-toe","gcvEarth",10,0.05,50,0.05
"vowel","gcvEarth",10,0.05,40,0.04
"waveform-5000","gcvEarth",10,0.05,100,0.03
"wdbc","gcvEarth",10,0.05,100,0.05
"wilt","gcvEarth",10,0.05,10,0.03
"analcatdata_authorship","JRip",10,0.05,100,0.01
"badges2","JRip",10,0.05,70,0.04
"banknote","JRip",10,0.05,100,0.03
"blood-transfusion-service-center","JRip",10,0.05,60,0.04
"breast-w","JRip",10,0.05,100,0
"cardiotocography","JRip",10,0.05,60,0.05
"climate-model-simulation-crashes","JRip",10,0.05,100,0.02
"cmc","JRip",10,0.05,40,0.04
"credit-g","JRip",10,0.05,100,0.04
"diabetes","JRip",10,0.05,100,0.05
"eucalyptus","JRip",10,0.05,100,0.03
"iris","JRip",10,0.05,100,0.01
"kc1","JRip",10,0.05,100,0.03
"liver-disorders","JRip",10,0.05,60,0.04
"mfeat-factors","JRip",10,0.05,100,0.01
"mfeat-karhunen","JRip",10,0.05,100,0.02
"mfeat-zernike","JRip",10,0.05,100,0.01
"ozone-level-8hr","JRip",10,0.05,100,0.03
"pc4","JRip",10,0.05,40,0.04
"phoneme","JRip",10,0.05,80,0.05
"qsar-biodeg","JRip",10,0.05,70,0.04
"tic-tac-toe","JRip",10,0.05,90,0.05
"vowel","JRip",10,0.05,70,0.04
"waveform-5000","JRip",10,0.05,100,0.03
"wdbc","JRip",10,0.05,100,0.01
"wilt","JRip",10,0.05,20,0.05
"analcatdata_authorship","lvq",10,0.05,100,0.01
"badges2","lvq",10,0.05,100,0
"banknote","lvq",10,0.05,100,0.03
"blood-transfusion-service-center","lvq",10,0.05,100,0
"breast-w","lvq",10,0.05,100,0
"cardiotocography","lvq",10,0.05,10,0.04
"climate-model-simulation-crashes","lvq",10,0.05,100,0
"cmc","lvq",10,0.05,80,0.05
"credit-g","lvq",10,0.05,20,0.05
"diabetes","lvq",10,0.05,100,0.05
"eucalyptus","lvq",10,0.05,100,0
"iris","lvq",10,0.05,100,0.02
"kc1","lvq",10,0.05,100,0.04
"liver-disorders","lvq",10,0.05,60,0.04
"mfeat-factors","lvq",10,0.05,100,0
"mfeat-karhunen","lvq",10,0.05,100,0
"mfeat-zernike","lvq",10,0.05,100,0
"ozone-level-8hr","lvq",10,0.05,50,0
"pc4","lvq",10,0.05,20,0.05
"phoneme","lvq",10,0.05,100,0.01
"qsar-biodeg","lvq",10,0.05,100,0.03
"tic-tac-toe","lvq",10,0.05,70,0.05
"vowel","lvq",10,0.05,100,0.01
"waveform-5000","lvq",10,0.05,100,0.02
"wdbc","lvq",10,0.05,60,0.05
"wilt","lvq",10,0.05,100,0
"analcatdata_authorship","mlpML",10,0.05,100,0
"badges2","mlpML",10,0.05,70,0.05
"banknote","mlpML",10,0.05,100,0
"blood-transfusion-service-center","mlpML",10,0.05,100,0
"breast-w","mlpML",10,0.05,100,0.01
"cardiotocography","mlpML",10,0.05,100,0
"climate-model-simulation-crashes","mlpML",10,0.05,90,0.04
"cmc","mlpML",10,0.05,100,0
"credit-g","mlpML",10,0.05,100,0
"diabetes","mlpML",10,0.05,100,0
"eucalyptus","mlpML",10,0.05,100,0
"iris","mlpML",10,0.05,100,0
"kc1","mlpML",10,0.05,100,0
"liver-disorders","mlpML",10,0.05,100,0
"mfeat-factors","mlpML",10,0.05,100,0
"mfeat-karhunen","mlpML",10,0.05,100,0.01
"mfeat-zernike","mlpML",10,0.05,100,0
"ozone-level-8hr","mlpML",10,0.05,100,0
"pc4","mlpML",10,0.05,100,0
"phoneme","mlpML",10,0.05,100,0.05
"qsar-biodeg","mlpML",10,0.05,100,0
"tic-tac-toe","mlpML",10,0.05,50,0.05
"vowel","mlpML",10,0.05,100,0.04
"waveform-5000","mlpML",10,0.05,100,0.01
"wdbc","mlpML",10,0.05,100,0
"wilt","mlpML",10,0.05,100,0
"analcatdata_authorship","multinom",10,0.05,100,0
"badges2","multinom",10,0.05,80,0.05
"banknote","multinom",10,0.05,100,0.02
"blood-transfusion-service-center","multinom",10,0.05,80,0.04
"breast-w","multinom",10,0.05,100,0.01
"cardiotocography","multinom",10,0.05,100,0
"climate-model-simulation-crashes","multinom",10,0.05,100,0.04
"cmc","multinom",10,0.05,90,0.05
"credit-g","multinom",10,0.05,100,0.04
"diabetes","multinom",10,0.05,100,0.03
"eucalyptus","multinom",10,0.05,100,0.05
"iris","multinom",10,0.05,100,0.04
"kc1","multinom",10,0.05,0,0
"liver-disorders","multinom",10,0.05,50,0.04
"mfeat-factors","multinom",10,0.05,100,0.02
"mfeat-karhunen","multinom",10,0.05,100,0.01
"mfeat-zernike","multinom",10,0.05,0,0
"ozone-level-8hr","multinom",10,0.05,30,0.04
"pc4","multinom",10,0.05,0,0
"phoneme","multinom",10,0.05,100,0.03
"qsar-biodeg","multinom",10,0.05,100,0.05
"tic-tac-toe","multinom",10,0.05,60,0.05
"vowel","multinom",10,0.05,40,0.05
"waveform-5000","multinom",10,0.05,100,0.02
"wdbc","multinom",10,0.05,100,0.02
"wilt","multinom",10,0.05,10,0.05
"analcatdata_authorship","naive_bayes",10,0.05,100,0
"badges2","naive_bayes",10,0.05,90,0.04
"banknote","naive_bayes",10,0.05,100,0.05
"blood-transfusion-service-center","naive_bayes",10,0.05,100,0.02
"breast-w","naive_bayes",10,0.05,100,0.01
"cardiotocography","naive_bayes",10,0.05,10,0.05
"climate-model-simulation-crashes","naive_bayes",10,0.05,100,0.03
"cmc","naive_bayes",10,0.05,50,0.05
"credit-g","naive_bayes",10,0.05,100,0
"diabetes","naive_bayes",10,0.05,100,0.03
"eucalyptus","naive_bayes",10,0.05,100,0
"iris","naive_bayes",10,0.05,80,0.05
"kc1","naive_bayes",10,0.05,100,0
"liver-disorders","naive_bayes",10,0.05,60,0.04
"mfeat-factors","naive_bayes",10,0.05,100,0
"mfeat-karhunen","naive_bayes",10,0.05,100,0
"mfeat-zernike","naive_bayes",10,0.05,100,0
"ozone-level-8hr","naive_bayes",10,0.05,100,0.02
"pc4","naive_bayes",10,0.05,100,0
"phoneme","naive_bayes",10,0.05,100,0.03
"qsar-biodeg","naive_bayes",10,0.05,40,0.05
"tic-tac-toe","naive_bayes",10,0.05,80,0.05
"vowel","naive_bayes",10,0.05,100,0.01
"waveform-5000","naive_bayes",10,0.05,100,0.02
"wdbc","naive_bayes",10,0.05,100,0
"wilt","naive_bayes",10,0.05,20,0.03
"analcatdata_authorship","PART",10,0.05,100,0
"badges2","PART",10,0.05,80,0.05
"banknote","PART",10,0.05,100,0.02
"blood-transfusion-service-center","PART",10,0.05,80,0.05
"breast-w","PART",10,0.05,100,0.02
"cardiotocography","PART",10,0.05,10,0.03
"climate-model-simulation-crashes","PART",10,0.05,100,0.01
"cmc","PART",10,0.05,50,0.05
"credit-g","PART",10,0.05,80,0.05
"diabetes","PART",10,0.05,100,0.03
"eucalyptus","PART",10,0.05,100,0.03
"iris","PART",10,0.05,100,0.02
"kc1","PART",10,0.05,100,0.02
"liver-disorders","PART",10,0.05,60,0.05
"mfeat-factors","PART",10,0.05,100,0
"mfeat-karhunen","PART",10,0.05,100,0.02
"mfeat-zernike","PART",10,0.05,100,0.01
"ozone-level-8hr","PART",10,0.05,100,0.02
"pc4","PART",10,0.05,10,0.04
"phoneme","PART",10,0.05,100,0.05
"qsar-biodeg","PART",10,0.05,40,0.05
"tic-tac-toe","PART",10,0.05,70,0.05
"vowel","PART",10,0.05,100,0.03
"waveform-5000","PART",10,0.05,100,0.01
"wdbc","PART",10,0.05,100,0
"wilt","PART",10,0.05,20,0.04
"analcatdata_authorship","rbfDDA",10,0.05,100,0.01
"badges2","rbfDDA",10,0.05,100,0.02
"banknote","rbfDDA",10,0.05,100,0.01
"blood-transfusion-service-center","rbfDDA",10,0.05,0,0
"breast-w","rbfDDA",10,0.05,100,0
"cardiotocography","rbfDDA",10,0.05,10,0.05
"climate-model-simulation-crashes","rbfDDA",10,0.05,100,0
"cmc","rbfDDA",10,0.05,30,0.05
"credit-g","rbfDDA",10,0.05,0,0
"diabetes","rbfDDA",10,0.05,80,0.05
"eucalyptus","rbfDDA",10,0.05,10,0.04
"iris","rbfDDA",10,0.05,100,0.04
"kc1","rbfDDA",10,0.05,0,0
"liver-disorders","rbfDDA",10,0.05,30,0.04
"mfeat-factors","rbfDDA",10,0.05,100,0
"mfeat-karhunen","rbfDDA",10,0.05,100,0
"mfeat-zernike","rbfDDA",10,0.05,100,0.01
"ozone-level-8hr","rbfDDA",10,0.05,10,0
"pc4","rbfDDA",10,0.05,0,0
"phoneme","rbfDDA",10,0.05,100,0.04
"qsar-biodeg","rbfDDA",10,0.05,80,0.05
"tic-tac-toe","rbfDDA",10,0.05,90,0.05
"vowel","rbfDDA",10,0.05,100,0
"waveform-5000","rbfDDA",10,0.05,100,0.04
"wdbc","rbfDDA",10,0.05,50,0.05
"wilt","rbfDDA",10,0.05,100,0
"analcatdata_authorship","rda",10,0.05,100,0
"badges2","rda",10,0.05,100,0.05
"banknote","rda",10,0.05,100,0
"blood-transfusion-service-center","rda",10,0.05,100,0.04
"breast-w","rda",10,0.05,100,0
"cardiotocography","rda",10,0.05,30,0.04
"climate-model-simulation-crashes","rda",10,0.05,70,0.04
"cmc","rda",10,0.05,100,0.05
"credit-g","rda",10,0.05,100,0
"diabetes","rda",10,0.05,100,0.04
"eucalyptus","rda",10,0.05,100,0
"iris","rda",10,0.05,100,0.01
"kc1","rda",10,0.05,0,0
"liver-disorders","rda",10,0.05,40,0.05
"mfeat-factors","rda",10,0.05,100,0
"mfeat-karhunen","rda",10,0.05,100,0
"mfeat-zernike","rda",10,0.05,20,0.05
"ozone-level-8hr","rda",10,0.05,20,0
"pc4","rda",10,0.05,100,0
"phoneme","rda",10,0.05,100,0.05
"qsar-biodeg","rda",10,0.05,100,0.05
"tic-tac-toe","rda",10,0.05,40,0.04
"vowel","rda",10,0.05,100,0.02
"waveform-5000","rda",10,0.05,100,0.02
"wdbc","rda",10,0.05,10,0.05
"wilt","rda",10,0.05,30,0.05
"analcatdata_authorship","rf",10,0.05,100,0
"badges2","rf",10,0.05,30,0.04
"banknote","rf",10,0.05,100,0.01
"blood-transfusion-service-center","rf",10,0.05,50,0.05
"breast-w","rf",10,0.05,100,0
"cardiotocography","rf",10,0.05,100,0
"climate-model-simulation-crashes","rf",10,0.05,20,0.03
"cmc","rf",10,0.05,100,0.02
"credit-g","rf",10,0.05,100,0.05
"diabetes","rf",10,0.05,100,0.04
"eucalyptus","rf",10,0.05,100,0.05
"iris","rf",10,0.05,100,0.03
"kc1","rf",10,0.05,100,0.01
"liver-disorders","rf",10,0.05,80,0.04
"mfeat-factors","rf",10,0.05,100,0
"mfeat-karhunen","rf",10,0.05,100,0
"mfeat-zernike","rf",10,0.05,100,0.01
"ozone-level-8hr","rf",10,0.05,100,0.03
"pc4","rf",10,0.05,70,0.05
"phoneme","rf",10,0.05,50,0.05
"qsar-biodeg","rf",10,0.05,100,0.04
"tic-tac-toe","rf",10,0.05,80,0.05
"vowel","rf",10,0.05,100,0.03
"waveform-5000","rf",10,0.05,100,0.02
"wdbc","rf",10,0.05,100,0
"wilt","rf",10,0.05,20,0.05
"analcatdata_authorship","rpart",10,0.05,100,0.01
"badges2","rpart",10,0.05,60,0.05
"banknote","rpart",10,0.05,100,0.05
"blood-transfusion-service-center","rpart",10,0.05,100,0.04
"breast-w","rpart",10,0.05,100,0.02
"cardiotocography","rpart",10,0.05,100,0
"climate-model-simulation-crashes","rpart",10,0.05,100,0
"cmc","rpart",10,0.05,100,0.03
"credit-g","rpart",10,0.05,100,0.03
"diabetes","rpart",10,0.05,100,0.05
"eucalyptus","rpart",10,0.05,50,0.04
"iris","rpart",10,0.05,100,0.03
"kc1","rpart",10,0.05,100,0.01
"liver-disorders","rpart",10,0.05,40,0.05
"mfeat-factors","rpart",10,0.05,100,0.01
"mfeat-karhunen","rpart",10,0.05,100,0.01
"mfeat-zernike","rpart",10,0.05,100,0.02
"ozone-level-8hr","rpart",10,0.05,100,0
"pc4","rpart",10,0.05,100,0.02
"phoneme","rpart",10,0.05,70,0.05
"qsar-biodeg","rpart",10,0.05,30,0.05
"tic-tac-toe","rpart",10,0.05,70,0.05
"vowel","rpart",10,0.05,50,0.05
"waveform-5000","rpart",10,0.05,100,0.04
"wdbc","rpart",10,0.05,100,0.01
"wilt","rpart",10,0.05,10,0.04
"analcatdata_authorship","simpls",10,0.05,100,0.01
"badges2","simpls",10,0.05,70,0.05
"banknote","simpls",10,0.05,100,0.01
"blood-transfusion-service-center","simpls",10,0.05,100,0.05
"breast-w","simpls",10,0.05,100,0.01
"cardiotocography","simpls",10,0.05,40,0.05
"climate-model-simulation-crashes","simpls",10,0.05,100,0
"cmc","simpls",10,0.05,100,0.05
"credit-g","simpls",10,0.05,100,0.01
"diabetes","simpls",10,0.05,100,0.04
"eucalyptus","simpls",10,0.05,100,0
"iris","simpls",10,0.05,100,0
"kc1","simpls",10,0.05,100,0
"liver-disorders","simpls",10,0.05,50,0.05
"mfeat-factors","simpls",10,0.05,100,0
"mfeat-karhunen","simpls",10,0.05,100,0.03
"mfeat-zernike","simpls",10,0.05,100,0.01
"ozone-level-8hr","simpls",10,0.05,100,0
"pc4","simpls",10,0.05,100,0
"phoneme","simpls",10,0.05,100,0.03
"qsar-biodeg","simpls",10,0.05,100,0.04
"tic-tac-toe","simpls",10,0.05,60,0.05
"vowel","simpls",10,0.05,100,0.05
"waveform-5000","simpls",10,0.05,100,0.02
"wdbc","simpls",10,0.05,100,0.02
"wilt","simpls",10,0.05,100,0
"analcatdata_authorship","svmLinear",10,0.05,100,0
"badges2","svmLinear",10,0.05,80,0.04
"banknote","svmLinear",10,0.05,100,0
"blood-transfusion-service-center","svmLinear",10,0.05,100,0
"breast-w","svmLinear",10,0.05,100,0
"cardiotocography","svmLinear",10,0.05,100,0
"climate-model-simulation-crashes","svmLinear",10,0.05,100,0.03
"cmc","svmLinear",10,0.05,100,0.05
"credit-g","svmLinear",10,0.05,100,0.05
"diabetes","svmLinear",10,0.05,100,0.04
"eucalyptus","svmLinear",10,0.05,100,0.02
"iris","svmLinear",10,0.05,100,0.03
"kc1","svmLinear",10,0.05,100,0.02
"liver-disorders","svmLinear",10,0.05,30,0.05
"mfeat-factors","svmLinear",10,0.05,100,0
"mfeat-karhunen","svmLinear",10,0.05,100,0
"mfeat-zernike","svmLinear",10,0.05,100,0.01
"ozone-level-8hr","svmLinear",10,0.05,60,0.05
"pc4","svmLinear",10,0.05,70,0.05
"phoneme","svmLinear",10,0.05,100,0.03
"qsar-biodeg","svmLinear",10,0.05,100,0.03
"tic-tac-toe","svmLinear",10,0.05,50,0.05
"vowel","svmLinear",10,0.05,80,0.05
"waveform-5000","svmLinear",10,0.05,100,0.02
"wdbc","svmLinear",10,0.05,100,0.01
"wilt","svmLinear",10,0.05,10,0.04
"analcatdata_authorship","svmRadial",10,0.05,100,0
"badges2","svmRadial",10,0.05,30,0.05
"banknote","svmRadial",10,0.05,100,0
"blood-transfusion-service-center","svmRadial",10,0.05,100,0.02
"breast-w","svmRadial",10,0.05,100,0
"cardiotocography","svmRadial",10,0.05,100,0
"climate-model-simulation-crashes","svmRadial",10,0.05,100,0
"cmc","svmRadial",10,0.05,80,0.05
"credit-g","svmRadial",10,0.05,0,0
"diabetes","svmRadial",10,0.05,100,0.02
"eucalyptus","svmRadial",10,0.05,100,0.02
"iris","svmRadial",10,0.05,100,0.02
"kc1","svmRadial",10,0.05,100,0
"liver-disorders","svmRadial",10,0.05,40,0.05
"mfeat-factors","svmRadial",10,0.05,100,0
"mfeat-karhunen","svmRadial",10,0.05,100,0
"mfeat-zernike","svmRadial",10,0.05,100,0
"ozone-level-8hr","svmRadial",10,0.05,100,0
"pc4","svmRadial",10,0.05,100,0.05
"phoneme","svmRadial",10,0.05,100,0.04
"qsar-biodeg","svmRadial",10,0.05,100,0
"tic-tac-toe","svmRadial",10,0.05,60,0.05
"vowel","svmRadial",10,0.05,100,0.03
"waveform-5000","svmRadial",10,0.05,100,0.01
"wdbc","svmRadial",10,0.05,100,0
"wilt","svmRadial",10,0.05,30,0.05
"analcatdata_authorship","rfRules",10,0.05,100,0.01
"badges2","rfRules",10,0.05,70,0.04
"banknote","rfRules",10,0.05,100,0.01
"blood-transfusion-service-center","rfRules",10,0.05,90,0.05
"breast-w","rfRules",10,0.05,100,0
"cardiotocography","rfRules",10,0.05,100,0
"climate-model-simulation-crashes","rfRules",10,0.05,100,0.05
"cmc","rfRules",10,0.05,100,0.02
"credit-g","rfRules",10,0.05,100,0.02
"diabetes","rfRules",10,0.05,90,0.05
"eucalyptus","rfRules",10,0.05,100,0.04
"iris","rfRules",10,0.05,100,0.01
"kc1","rfRules",10,0.05,100,0.02
"liver-disorders","rfRules",10,0.05,50,0.04
"mfeat-factors","rfRules",10,0.05,100,0
"mfeat-karhunen","rfRules",10,0.05,100,0.03
"mfeat-zernike","rfRules",10,0.05,100,0.01
"ozone-level-8hr","rfRules",10,0.05,100,0
"pc4","rfRules",10,0.05,100,0.05
"phoneme","rfRules",10,0.05,100,0.04
"qsar-biodeg","rfRules",10,0.05,100,0.02
"tic-tac-toe","rfRules",10,0.05,50,0.05
"vowel","rfRules",10,0.05,100,0.04
"waveform-5000","rfRules",10,0.05,100,0.03
"wdbc","rfRules",10,0.05,100,0
"wilt","rfRules",10,0.05,30,0.05
"analcatdata_authorship","knn",10,0.05,100,0
"badges2","knn",10,0.05,50,0.04
"banknote","knn",10,0.05,100,0
"blood-transfusion-service-center","knn",10,0.05,10,0.03
"breast-w","knn",10,0.05,100,0
"cardiotocography","knn",10,0.05,100,0
"climate-model-simulation-crashes","knn",10,0.05,100,0.03
"cmc","knn",10,0.05,60,0.05
"credit-g","knn",10,0.05,100,0.03
"diabetes","knn",10,0.05,100,0.04
"eucalyptus","knn",10,0.05,60,0.05
"iris","knn",10,0.05,100,0.02
"kc1","knn",10,0.05,80,0.05
"liver-disorders","knn",10,0.05,90,0.05
"mfeat-factors","knn",10,0.05,100,0
"mfeat-karhunen","knn",10,0.05,100,0
"mfeat-zernike","knn",10,0.05,100,0.01
"ozone-level-8hr","knn",10,0.05,100,0.02
"pc4","knn",10,0.05,100,0.04
"phoneme","knn",10,0.05,100,0.05
"qsar-biodeg","knn",10,0.05,100,0
"tic-tac-toe","knn",10,0.05,100,0.05
"vowel","knn",10,0.05,100,0
"waveform-5000","knn",10,0.05,100,0.01
"wdbc","knn",10,0.05,100,0
"wilt","knn",10,0.05,50,0.04
"analcatdata_authorship","bayesglm",10,0.05,100,0
"badges2","bayesglm",10,0.05,50,0.05
"banknote","bayesglm",10,0.05,100,0.02
"blood-transfusion-service-center","bayesglm",10,0.05,90,0.04
"breast-w","bayesglm",10,0.05,100,0
"cardiotocography","bayesglm",10,0.05,100,0
"climate-model-simulation-crashes","bayesglm",10,0.05,60,0.04
"cmc","bayesglm",10,0.05,100,0.05
"credit-g","bayesglm",10,0.05,100,0.04
"diabetes","bayesglm",10,0.05,100,0.03
"eucalyptus","bayesglm",10,0.05,100,0.05
"iris","bayesglm",10,0.05,100,0
"kc1","bayesglm",10,0.05,60,0.04
"liver-disorders","bayesglm",10,0.05,70,0.04
"mfeat-factors","bayesglm",10,0.05,100,0
"mfeat-karhunen","bayesglm",10,0.05,100,0.01
"mfeat-zernike","bayesglm",10,0.05,100,0
"ozone-level-8hr","bayesglm",10,0.05,70,0.05
"pc4","bayesglm",10,0.05,30,0.05
"phoneme","bayesglm",10,0.05,100,0.03
"qsar-biodeg","bayesglm",10,0.05,100,0.03
"tic-tac-toe","bayesglm",10,0.05,50,0.05
"vowel","bayesglm",10,0.05,80,0.04
"waveform-5000","bayesglm",10,0.05,100,0.02
"wdbc","bayesglm",10,0.05,100,0.03
"wilt","bayesglm",10,0.05,0,0
"analcatdata_authorship","C5.0",20,0.05,100,0.01
"badges2","C5.0",20,0.05,20,0.05
"banknote","C5.0",20,0.05,100,0.01
"blood-transfusion-service-center","C5.0",20,0.05,50,0.05
"breast-w","C5.0",20,0.05,100,0.01
"cardiotocography","C5.0",20,0.05,10,0.05
"climate-model-simulation-crashes","C5.0",20,0.05,70,0.05
"cmc","C5.0",20,0.05,30,0.05
"credit-g","C5.0",20,0.05,60,0.05
"diabetes","C5.0",20,0.05,70,0.05
"eucalyptus","C5.0",20,0.05,90,0.05
"iris","C5.0",20,0.05,40,0.04
"kc1","C5.0",20,0.05,20,0.04
"liver-disorders","C5.0",20,0.05,10,0.04
"mfeat-factors","C5.0",20,0.05,100,0
"mfeat-karhunen","C5.0",20,0.05,100,0.02
"mfeat-zernike","C5.0",20,0.05,100,0.01
"ozone-level-8hr","C5.0",20,0.05,100,0.03
"pc4","C5.0",20,0.05,30,0.05
"phoneme","C5.0",20,0.05,40,0.05
"qsar-biodeg","C5.0",20,0.05,40,0.05
"tic-tac-toe","C5.0",20,0.05,60,0.05
"vowel","C5.0",20,0.05,50,0.05
"waveform-5000","C5.0",20,0.05,100,0.05
"wdbc","C5.0",20,0.05,100,0.01
"wilt","C5.0",20,0.05,0,0
"analcatdata_authorship","ctree",20,0.05,100,0.03
"badges2","ctree",20,0.05,20,0.05
"banknote","ctree",20,0.05,60,0.05
"blood-transfusion-service-center","ctree",20,0.05,100,0.02
"breast-w","ctree",20,0.05,100,0.04
"cardiotocography","ctree",20,0.05,20,0.05
"climate-model-simulation-crashes","ctree",20,0.05,90,0.04
"cmc","ctree",20,0.05,40,0.04
"credit-g","ctree",20,0.05,60,0.05
"diabetes","ctree",20,0.05,50,0.04
"eucalyptus","ctree",20,0.05,50,0.05
"iris","ctree",20,0.05,60,0.05
