COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class,dataset_name,altered_attribute,noise_level
84,37,53,142.26,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van,vehicle,RADIUS_RATIO,0.9
94,43,64,117.38,69,7,150,43,19,142,169,344,177,68,9,1,199,206,bus,vehicle,RADIUS_RATIO,0.9
87,39,70,132.06,61,7,143,46,18,136,164,307,141,69,1,2,192,199,bus,vehicle,RADIUS_RATIO,0.9
99,53,105,198.57,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab,vehicle,RADIUS_RATIO,0.9
85,45,80,163.11,64,9,147,45,19,148,169,324,174,71,1,4,188,199,van,vehicle,RADIUS_RATIO,0.9
83,36,54,156.97,57,6,128,53,18,125,143,238,139,82,6,3,179,183,saab,vehicle,RADIUS_RATIO,0.9
107,54,98,241.53,65,11,218,31,25,167,229,696,216,72,1,28,187,199,saab,vehicle,RADIUS_RATIO,0.9
102,45,85,212.87,64,6,192,33,22,146,217,570,163,76,6,7,195,193,bus,vehicle,RADIUS_RATIO,0.9
80,38,63,189.57,55,7,146,46,19,130,168,314,158,83,9,20,180,185,saab,vehicle,RADIUS_RATIO,0.9
89,43,85,173.42,64,11,155,43,19,151,173,356,174,72,5,9,185,196,van,vehicle,RADIUS_RATIO,0.9
88,42,77,172.95,58,8,140,47,18,142,165,293,158,64,10,11,198,205,saab,vehicle,RADIUS_RATIO,0.9
93,35,66,159.7,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel,vehicle,RADIUS_RATIO,0.9
101,48,107,186.02,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel,vehicle,RADIUS_RATIO,0.9
87,38,85,146.65,61,8,164,40,20,129,186,402,130,63,1,25,198,205,opel,vehicle,RADIUS_RATIO,0.9
100,46,90,141.49,67,9,157,43,20,150,170,363,184,67,17,7,192,200,van,vehicle,RADIUS_RATIO,0.9
82,44,72,149.61,52,7,152,44,19,147,174,340,177,82,2,2,180,185,bus,vehicle,RADIUS_RATIO,0.9
90,48,86,328.72,126,49,153,44,19,156,272,346,200,118,0,15,185,194,van,vehicle,RADIUS_RATIO,0.9
106,53,98,158.71,54,10,216,31,24,171,235,691,218,74,1,9,187,197,saab,vehicle,RADIUS_RATIO,0.9
81,45,68,188.56,73,6,151,44,19,146,173,336,186,75,7,0,183,189,bus,vehicle,RADIUS_RATIO,0.9
95,48,104,171.96,67,9,205,32,23,151,227,628,202,74,5,9,186,193,opel,vehicle,RADIUS_RATIO,0.9
88,37,51,71.74,52,5,119,57,17,128,135,207,125,86,8,16,179,183,van,vehicle,RADIUS_RATIO,0.9
94,49,87,113.76,54,11,158,43,20,162,178,366,186,75,5,5,183,194,van,vehicle,RADIUS_RATIO,0.9
93,37,76,190.89,63,8,164,40,20,134,191,405,139,67,4,7,192,197,saab,vehicle,RADIUS_RATIO,0.9
119,54,106,258.72,65,12,213,31,24,167,223,675,232,66,20,1,192,202,saab,vehicle,RADIUS_RATIO,0.9
93,46,82,126.54,58,11,159,43,20,160,180,371,189,77,2,4,183,194,van,vehicle,RADIUS_RATIO,0.9
91,43,70,158.41,55,8,130,51,18,146,159,253,156,70,1,8,190,194,van,vehicle,RADIUS_RATIO,0.9
85,42,66,72.28,54,6,148,46,19,141,172,317,174,88,6,14,180,182,bus,vehicle,RADIUS_RATIO,0.9
89,47,81,153.74,64,11,156,44,20,163,170,352,188,76,6,13,184,193,van,vehicle,RADIUS_RATIO,0.9
91,45,79,139.58,59,9,163,40,20,148,184,404,179,62,0,10,199,208,saab,vehicle,RADIUS_RATIO,0.9
78,38,63,91.76,51,6,142,47,19,130,162,299,146,77,2,4,181,185,saab,vehicle,RADIUS_RATIO,0.9
92,38,71,153.71,66,7,154,43,19,133,181,355,130,70,4,24,189,195,saab,vehicle,RADIUS_RATIO,0.9
98,55,101,256.68,70,9,210,31,24,168,236,661,245,72,1,6,188,197,opel,vehicle,RADIUS_RATIO,0.9
101,42,62,218.34,67,6,149,43,19,139,169,341,165,65,7,11,202,209,bus,vehicle,RADIUS_RATIO,0.9
101,56,104,179.19,53,6,257,26,28,168,275,956,230,83,5,26,180,184,bus,vehicle,RADIUS_RATIO,0.9
94,36,66,154.29,61,8,133,50,18,135,154,265,119,62,9,3,201,208,van,vehicle,RADIUS_RATIO,0.9
97,44,96,144.89,63,9,185,36,22,144,202,512,165,66,4,8,191,199,saab,vehicle,RADIUS_RATIO,0.9
89,47,84,141.51,55,11,157,44,20,160,169,354,176,74,5,9,182,192,van,vehicle,RADIUS_RATIO,0.9
107,53,103,184.7,66,11,209,32,24,163,222,653,212,66,0,1,191,201,opel,vehicle,RADIUS_RATIO,0.9
85,39,68,135.94,52,5,128,53,18,135,148,241,142,75,8,8,182,187,van,vehicle,RADIUS_RATIO,0.9
103,50,98,211.21,63,9,193,34,22,161,214,567,185,64,5,5,198,204,opel,vehicle,RADIUS_RATIO,0.9
77,38,63,188.05,59,5,130,52,18,130,145,247,139,79,13,21,183,187,opel,vehicle,RADIUS_RATIO,0.9
96,40,70,100.33,50,8,137,50,18,141,162,269,139,80,10,13,183,183,van,vehicle,RADIUS_RATIO,0.9
83,42,66,163.36,67,7,150,45,19,144,174,333,159,78,4,2,182,188,bus,vehicle,RADIUS_RATIO,0.9
93,45,86,246.89,69,7,184,35,22,145,203,523,183,72,0,4,194,197,bus,vehicle,RADIUS_RATIO,0.9
89,41,75,108.86,56,7,146,46,19,137,170,317,156,76,18,5,184,188,opel,vehicle,RADIUS_RATIO,0.9
81,43,68,184.82,57,8,149,46,19,146,169,323,172,83,6,18,179,184,bus,vehicle,RADIUS_RATIO,0.9
98,55,101,227.62,69,11,225,30,25,178,231,748,216,74,6,14,187,195,opel,vehicle,RADIUS_RATIO,0.9
86,44,78,105.47,68,9,142,46,18,147,168,305,171,70,1,11,190,201,van,vehicle,RADIUS_RATIO,0.9
98,49,84,211.36,74,7,190,34,22,154,208,558,209,74,4,7,195,195,bus,vehicle,RADIUS_RATIO,0.9
96,55,98,167.81,54,10,215,31,24,175,226,683,221,76,3,6,185,193,opel,vehicle,RADIUS_RATIO,0.9
97,59,108,212.4,70,11,224,30,25,186,225,732,218,70,10,25,186,198,opel,vehicle,RADIUS_RATIO,0.9
92,39,91,153.07,62,8,176,37,21,137,196,466,151,67,3,23,192,200,opel,vehicle,RADIUS_RATIO,0.9
73,37,53,131.74,54,6,126,55,18,128,135,227,147,82,1,15,176,184,opel,vehicle,RADIUS_RATIO,0.9
89,42,89,123.85,61,11,151,44,19,145,170,338,163,72,11,23,187,199,van,vehicle,RADIUS_RATIO,0.9
101,53,103,219.1,63,9,195,34,22,162,210,571,210,68,5,5,191,198,opel,vehicle,RADIUS_RATIO,0.9
91,39,83,172.86,60,8,172,38,21,134,197,445,152,72,0,10,188,194,saab,vehicle,RADIUS_RATIO,0.9
86,40,62,182.31,62,7,150,45,19,133,165,330,173,82,2,3,180,185,saab,vehicle,RADIUS_RATIO,0.9
104,52,94,192.5,66,5,208,31,24,161,227,666,218,76,11,4,193,191,bus,vehicle,RADIUS_RATIO,0.9
89,44,68,110.83,50,7,150,45,19,147,171,328,189,88,6,5,179,182,bus,vehicle,RADIUS_RATIO,0.9
87,46,71,182.03,66,6,151,44,19,146,175,343,189,73,2,0,186,190,bus,vehicle,RADIUS_RATIO,0.9
99,51,92,178.5,65,5,209,31,24,159,232,671,214,78,5,11,191,189,bus,vehicle,RADIUS_RATIO,0.9
94,36,68,96.27,54,7,127,52,18,132,155,242,116,66,1,2,195,196,van,vehicle,RADIUS_RATIO,0.9
79,40,80,113.68,55,7,147,47,19,135,172,311,144,76,8,30,181,193,opel,vehicle,RADIUS_RATIO,0.9
89,40,76,177.1,76,7,150,44,19,136,174,342,148,72,3,8,193,197,bus,vehicle,RADIUS_RATIO,0.9
110,58,106,206.05,51,6,261,26,28,171,278,998,257,83,9,13,181,182,bus,vehicle,RADIUS_RATIO,0.9
89,41,84,155.02,58,9,149,45,19,145,172,330,162,72,4,18,188,200,van,vehicle,RADIUS_RATIO,0.9
86,37,60,136.35,54,5,119,56,17,132,141,209,129,72,2,8,186,190,van,vehicle,RADIUS_RATIO,0.9
91,42,84,123.14,75,6,171,38,20,138,189,446,161,69,3,12,196,201,bus,vehicle,RADIUS_RATIO,0.9
80,37,57,128.88,55,6,125,54,18,125,142,229,132,81,8,5,178,184,opel,vehicle,RADIUS_RATIO,0.9
104,55,107,230.07,68,11,218,31,24,173,232,703,229,71,3,10,188,199,saab,vehicle,RADIUS_RATIO,0.9
94,38,84,192.48,55,9,169,39,20,130,196,430,155,69,9,15,190,195,opel,vehicle,RADIUS_RATIO,0.9
104,52,100,192.13,59,9,197,33,23,158,218,583,234,70,10,10,191,198,saab,vehicle,RADIUS_RATIO,0.9
94,48,87,201.06,64,10,157,43,20,161,179,363,186,75,4,15,184,195,van,vehicle,RADIUS_RATIO,0.9
84,45,66,193.03,65,6,145,46,19,144,168,312,177,73,2,3,184,188,bus,vehicle,RADIUS_RATIO,0.9
97,50,108,211.2,65,10,214,31,24,156,232,683,218,72,7,29,188,197,opel,vehicle,RADIUS_RATIO,0.9
89,42,80,78.14,62,6,144,46,19,139,166,308,170,74,17,13,185,189,saab,vehicle,RADIUS_RATIO,0.9
86,43,68,130.42,62,7,150,44,19,142,179,337,164,75,4,9,188,192,bus,vehicle,RADIUS_RATIO,0.9
95,46,105,246.11,68,9,201,33,23,148,223,602,201,69,5,38,191,202,opel,vehicle,RADIUS_RATIO,0.9
87,44,65,126.26,56,6,149,46,19,144,170,321,171,87,4,12,179,182,bus,vehicle,RADIUS_RATIO,0.9
82,45,66,247.32,126,52,148,45,19,144,237,326,185,119,1,1,181,185,bus,vehicle,RADIUS_RATIO,0.9
95,42,85,257.44,66,9,153,44,19,144,168,347,150,65,11,5,196,204,van,vehicle,RADIUS_RATIO,0.9
94,42,68,162.28,64,7,128,52,18,143,154,246,159,69,14,5,192,196,van,vehicle,RADIUS_RATIO,0.9
92,38,60,94.58,62,5,114,58,17,132,135,194,137,72,14,5,190,194,van,vehicle,RADIUS_RATIO,0.9
102,45,83,238.66,65,5,194,33,22,146,225,576,167,79,0,27,193,191,bus,vehicle,RADIUS_RATIO,0.9
108,53,103,250.01,64,10,220,30,25,168,224,711,214,73,11,10,188,199,saab,vehicle,RADIUS_RATIO,0.9
99,46,105,223.35,64,11,197,34,23,152,212,575,159,65,0,33,194,205,opel,vehicle,RADIUS_RATIO,0.9
85,39,77,114.65,59,8,150,45,19,134,176,331,133,73,0,16,184,193,opel,vehicle,RADIUS_RATIO,0.9
80,44,68,202.74,59,8,150,45,19,145,170,329,173,80,7,12,180,185,bus,vehicle,RADIUS_RATIO,0.9
99,48,79,176.4,68,6,185,35,22,153,202,524,171,74,5,8,195,195,bus,vehicle,RADIUS_RATIO,0.9
89,40,77,129.21,65,9,144,46,19,141,168,314,143,70,0,5,190,200,van,vehicle,RADIUS_RATIO,0.9
94,48,83,171.98,64,10,156,43,19,153,177,357,187,74,4,14,185,196,van,vehicle,RADIUS_RATIO,0.9
77,38,75,153.04,59,6,147,46,19,132,167,315,136,80,16,20,181,187,opel,vehicle,RADIUS_RATIO,0.9
88,35,50,110.57,58,5,114,59,17,122,132,192,138,74,21,4,182,187,opel,vehicle,RADIUS_RATIO,0.9
93,43,85,122.07,54,10,155,44,19,153,174,351,165,75,12,13,184,196,van,vehicle,RADIUS_RATIO,0.9
95,47,88,153.29,64,11,159,43,20,157,176,371,185,71,12,13,189,198,van,vehicle,RADIUS_RATIO,0.9
100,45,100,274.79,65,8,201,32,23,147,231,611,189,72,5,5,189,195,opel,vehicle,RADIUS_RATIO,0.9
109,53,109,233.54,69,12,221,31,25,169,226,712,212,72,13,28,188,201,saab,vehicle,RADIUS_RATIO,0.9
85,43,64,130.34,56,8,150,46,19,144,168,324,173,82,9,14,180,184,bus,vehicle,RADIUS_RATIO,0.9
93,49,79,188.16,65,7,173,37,21,158,189,463,194,70,5,10,197,202,bus,vehicle,RADIUS_RATIO,0.9
89,37,54,153.27,53,5,134,50,18,127,151,266,146,79,16,14,184,185,saab,vehicle,RADIUS_RATIO,0.9
90,48,78,130.98,59,11,160,43,20,160,173,370,185,76,10,11,183,192,van,vehicle,RADIUS_RATIO,0.9
92,40,82,136.03,63,9,146,45,19,140,165,319,137,64,9,0,199,206,van,vehicle,RADIUS_RATIO,0.9
90,36,57,54.5,57,6,121,56,17,127,137,216,132,68,22,23,190,195,saab,vehicle,RADIUS_RATIO,0.9
85,45,71,148.2,63,8,143,46,19,147,171,307,179,72,2,3,187,196,van,vehicle,RADIUS_RATIO,0.9
90,46,80,150.66,62,11,159,43,20,156,169,366,186,74,17,7,185,193,van,vehicle,RADIUS_RATIO,0.9
89,42,70,154.35,62,7,147,45,19,143,176,323,153,76,2,6,186,189,bus,vehicle,RADIUS_RATIO,0.9
85,41,66,175.84,65,22,149,45,19,139,173,330,155,75,6,16,184,191,bus,vehicle,RADIUS_RATIO,0.9
97,45,88,174.18,67,10,157,43,20,157,173,365,157,67,8,12,192,200,van,vehicle,RADIUS_RATIO,0.9
100,48,95,197.33,68,7,199,32,23,150,216,605,200,73,7,11,192,194,bus,vehicle,RADIUS_RATIO,0.9
100,46,104,212.78,60,9,197,34,23,147,222,578,198,73,13,13,189,197,saab,vehicle,RADIUS_RATIO,0.9
86,36,77,184.61,60,7,150,45,19,128,174,331,131,66,0,32,196,203,saab,vehicle,RADIUS_RATIO,0.9
97,42,101,241.65,59,9,186,36,22,138,208,511,168,67,7,41,194,206,saab,vehicle,RADIUS_RATIO,0.9
98,39,68,131.78,49,7,134,51,18,142,164,261,134,75,4,1,186,186,van,vehicle,RADIUS_RATIO,0.9
102,54,100,202.32,53,10,213,31,24,173,219,669,201,76,12,27,187,195,opel,vehicle,RADIUS_RATIO,0.9
89,47,83,285.53,133,48,158,43,20,163,229,364,176,97,0,14,184,194,van,vehicle,RADIUS_RATIO,0.9
86,48,75,110.93,58,10,161,43,20,163,170,371,185,75,3,1,183,192,van,vehicle,RADIUS_RATIO,0.9
87,42,64,200.25,64,10,133,50,18,142,157,264,159,67,7,1,193,201,van,vehicle,RADIUS_RATIO,0.9
88,37,63,77.73,58,5,125,54,18,130,141,230,145,74,14,20,184,188,saab,vehicle,RADIUS_RATIO,0.9
91,42,80,154.9,66,8,148,44,19,145,171,331,147,70,3,5,189,199,van,vehicle,RADIUS_RATIO,0.9
90,37,80,179.42,58,9,157,42,20,132,172,373,115,60,3,18,201,209,saab,vehicle,RADIUS_RATIO,0.9
81,42,63,144.83,55,8,149,46,19,145,166,320,172,86,7,7,179,182,bus,vehicle,RADIUS_RATIO,0.9
106,49,107,188.48,57,11,214,31,24,161,224,670,172,67,0,39,192,206,opel,vehicle,RADIUS_RATIO,0.9
80,43,68,176.45,54,8,150,45,19,145,171,329,176,85,4,8,179,183,bus,vehicle,RADIUS_RATIO,0.9
95,45,80,212.79,62,7,164,40,20,145,188,406,178,65,11,18,199,204,opel,vehicle,RADIUS_RATIO,0.9
103,54,107,234.06,64,12,222,30,25,174,221,728,199,67,0,18,189,200,opel,vehicle,RADIUS_RATIO,0.9
100,46,85,230.22,64,11,163,42,20,163,176,387,170,71,18,0,189,196,van,vehicle,RADIUS_RATIO,0.9
91,40,76,165.56,67,7,149,44,19,135,169,332,144,68,4,17,192,200,bus,vehicle,RADIUS_RATIO,0.9
90,43,72,196.65,59,8,154,42,19,144,174,360,158,61,15,9,203,209,saab,vehicle,RADIUS_RATIO,0.9
93,36,64,147.24,69,8,136,49,18,136,161,279,127,67,2,29,193,204,van,vehicle,RADIUS_RATIO,0.9
104,50,96,261.31,65,10,187,35,22,156,207,527,195,65,3,7,195,206,saab,vehicle,RADIUS_RATIO,0.9
94,44,84,212.89,74,6,184,35,22,145,208,525,154,73,4,22,196,197,bus,vehicle,RADIUS_RATIO,0.9
93,35,72,179.01,62,7,149,44,19,124,169,334,125,62,5,30,203,210,opel,vehicle,RADIUS_RATIO,0.9
106,49,106,226.86,64,9,208,32,24,158,224,645,184,68,1,24,190,202,saab,vehicle,RADIUS_RATIO,0.9
89,40,79,177.61,64,9,144,46,19,139,168,311,149,71,8,7,188,197,van,vehicle,RADIUS_RATIO,0.9
110,56,103,236.99,64,5,250,26,27,169,280,928,239,85,4,6,184,183,bus,vehicle,RADIUS_RATIO,0.9
85,36,78,149.57,55,7,147,45,19,128,168,321,134,64,10,24,197,203,opel,vehicle,RADIUS_RATIO,0.9
93,42,70,122.12,56,7,127,53,18,145,156,240,152,74,5,4,189,190,van,vehicle,RADIUS_RATIO,0.9
87,39,74,159.2,58,6,151,44,19,136,174,337,140,70,1,33,187,196,saab,vehicle,RADIUS_RATIO,0.9
91,45,75,170.5,57,6,150,44,19,146,170,335,180,66,16,2,193,198,opel,vehicle,RADIUS_RATIO,0.9
82,38,53,155.05,59,5,133,51,18,128,152,259,146,87,0,0,177,183,opel,vehicle,RADIUS_RATIO,0.9
107,52,101,219.03,64,11,202,33,23,164,219,610,192,65,17,2,197,206,opel,vehicle,RADIUS_RATIO,0.9
98,39,81,184.69,64,9,166,40,20,138,184,415,131,62,8,19,197,205,saab,vehicle,RADIUS_RATIO,0.9
85,40,72,155.78,59,5,132,50,18,135,159,260,150,68,3,9,191,195,saab,vehicle,RADIUS_RATIO,0.9
98,54,104,145.42,59,10,213,32,24,172,223,665,217,73,1,26,186,195,opel,vehicle,RADIUS_RATIO,0.9
103,54,91,215.75,57,11,220,31,25,170,220,707,198,72,1,32,186,198,opel,vehicle,RADIUS_RATIO,0.9
92,36,78,168.44,57,8,153,43,19,128,169,349,124,60,4,19,203,211,saab,vehicle,RADIUS_RATIO,0.9
110,51,104,171.81,57,12,213,31,24,162,226,674,190,68,18,2,191,199,saab,vehicle,RADIUS_RATIO,0.9
82,45,68,160.19,64,6,147,46,19,143,169,320,184,80,0,1,181,184,bus,vehicle,RADIUS_RATIO,0.9
98,38,70,92.93,52,8,130,53,18,139,157,243,132,74,0,13,186,185,van,vehicle,RADIUS_RATIO,0.9
108,51,103,157.32,60,11,211,31,24,160,222,661,187,67,7,3,190,200,opel,vehicle,RADIUS_RATIO,0.9
106,54,103,121.34,47,4,247,27,27,166,266,892,242,85,4,11,181,183,bus,vehicle,RADIUS_RATIO,0.9
94,45,81,135.31,67,9,145,46,19,147,164,313,179,66,11,14,194,202,van,vehicle,RADIUS_RATIO,0.9
96,49,98,162.34,59,6,213,31,24,152,228,680,210,77,8,28,188,189,bus,vehicle,RADIUS_RATIO,0.9
93,48,84,183.38,63,11,156,44,20,165,171,354,188,73,8,15,185,195,van,vehicle,RADIUS_RATIO,0.9
88,40,78,201.62,73,6,158,41,20,134,185,379,148,73,1,11,193,197,bus,vehicle,RADIUS_RATIO,0.9
84,39,90,146.37,60,7,177,37,21,131,209,469,145,71,4,38,190,198,opel,vehicle,RADIUS_RATIO,0.9
89,44,72,141.44,66,7,144,46,19,147,166,312,169,69,11,1,191,198,bus,vehicle,RADIUS_RATIO,0.9
93,37,73,205.81,68,7,151,43,19,131,175,347,135,68,1,22,196,205,bus,vehicle,RADIUS_RATIO,0.9
89,44,70,143.84,58,6,136,49,18,146,168,273,166,78,10,3,186,187,van,vehicle,RADIUS_RATIO,0.9
102,54,106,156.77,68,11,207,32,24,164,228,638,238,71,0,26,189,200,saab,vehicle,RADIUS_RATIO,0.9
78,36,60,126.95,56,6,123,55,17,124,141,221,121,78,3,16,178,185,opel,vehicle,RADIUS_RATIO,0.9
91,42,66,177.77,66,7,145,44,19,140,169,325,159,67,4,0,201,207,bus,vehicle,RADIUS_RATIO,0.9
84,35,53,132.91,57,4,116,59,17,123,135,196,128,76,10,27,183,190,saab,vehicle,RADIUS_RATIO,0.9
103,46,106,206.96,66,10,203,33,23,149,217,612,210,70,9,10,191,199,saab,vehicle,RADIUS_RATIO,0.9
100,41,75,199.75,71,5,176,36,21,138,204,479,151,72,7,19,197,197,bus,vehicle,RADIUS_RATIO,0.9
91,42,81,240.15,69,5,169,38,20,137,184,434,156,68,3,23,198,204,bus,vehicle,RADIUS_RATIO,0.9
98,45,76,154.28,60,7,157,42,20,148,184,371,186,69,13,10,190,196,opel,vehicle,RADIUS_RATIO,0.9
101,51,105,219.45,68,10,209,32,24,162,222,653,224,73,5,23,186,195,opel,vehicle,RADIUS_RATIO,0.9
90,36,78,220.44,64,8,157,42,19,126,182,367,142,66,1,20,192,198,opel,vehicle,RADIUS_RATIO,0.9
97,48,94,197.22,63,9,181,36,21,155,200,494,189,64,20,11,199,203,opel,vehicle,RADIUS_RATIO,0.9
87,40,81,103.51,68,10,146,46,19,139,167,317,157,70,0,13,189,199,van,vehicle,RADIUS_RATIO,0.9
93,43,76,174.51,57,7,149,44,19,143,172,335,176,69,14,0,189,194,saab,vehicle,RADIUS_RATIO,0.9
107,55,98,207.11,59,7,240,27,26,168,258,866,245,80,3,1,186,184,bus,vehicle,RADIUS_RATIO,0.9
92,37,86,190.13,60,7,158,42,20,131,181,373,144,68,9,21,190,196,saab,vehicle,RADIUS_RATIO,0.9
86,43,66,151.04,56,7,152,44,19,142,177,340,173,81,6,14,181,185,bus,vehicle,RADIUS_RATIO,0.9
107,56,104,221.65,71,11,219,31,25,172,226,705,217,71,19,11,189,196,saab,vehicle,RADIUS_RATIO,0.9
82,44,72,111.65,64,7,154,44,19,144,181,350,177,80,0,16,183,187,bus,vehicle,RADIUS_RATIO,0.9
81,46,71,190.75,56,7,153,44,19,149,172,342,191,81,3,14,180,186,bus,vehicle,RADIUS_RATIO,0.9
82,44,72,157.37,61,7,147,46,19,143,173,317,183,81,6,17,181,185,bus,vehicle,RADIUS_RATIO,0.9
93,47,85,125.59,66,11,156,44,20,158,172,355,178,74,7,15,183,195,van,vehicle,RADIUS_RATIO,0.9
90,36,74,231.71,60,8,157,42,19,128,177,367,123,61,6,21,197,204,saab,vehicle,RADIUS_RATIO,0.9
111,54,103,184.45,50,11,221,30,25,172,227,727,201,69,15,6,190,198,opel,vehicle,RADIUS_RATIO,0.9
103,55,100,158.44,62,11,212,31,24,175,217,666,219,73,10,14,187,194,opel,vehicle,RADIUS_RATIO,0.9
89,40,58,138.76,58,7,122,54,17,140,146,225,150,63,7,4,199,206,van,vehicle,RADIUS_RATIO,0.9
87,47,81,171.46,62,9,147,45,19,152,171,325,181,72,0,6,188,198,van,vehicle,RADIUS_RATIO,0.9
92,46,79,176.66,64,8,162,41,20,149,183,396,178,67,2,10,191,198,opel,vehicle,RADIUS_RATIO,0.9
85,42,64,99.07,55,7,149,46,19,146,167,323,172,85,1,6,179,182,bus,vehicle,RADIUS_RATIO,0.9
86,46,70,132.06,65,8,149,45,19,146,170,331,185,77,6,6,183,188,bus,vehicle,RADIUS_RATIO,0.9
101,56,100,156.88,55,11,214,31,24,175,219,681,224,74,2,3,185,192,opel,vehicle,RADIUS_RATIO,0.9
94,39,89,221.38,62,9,172,38,21,135,191,444,121,63,4,23,201,209,opel,vehicle,RADIUS_RATIO,0.9
86,37,69,115.87,63,8,138,48,18,134,163,284,124,71,1,6,189,195,van,vehicle,RADIUS_RATIO,0.9
90,41,71,143.64,68,7,150,44,19,138,175,336,157,71,3,18,192,197,bus,vehicle,RADIUS_RATIO,0.9
104,49,89,157.23,54,4,212,31,24,153,238,682,198,78,1,23,190,189,bus,vehicle,RADIUS_RATIO,0.9
89,36,72,111.67,56,7,138,48,18,126,163,286,130,72,1,1,187,192,opel,vehicle,RADIUS_RATIO,0.9
90,39,86,181.02,62,7,162,41,20,131,194,388,147,74,1,22,185,191,opel,vehicle,RADIUS_RATIO,0.9
84,44,77,158.17,59,5,152,44,19,143,175,344,177,77,8,2,183,187,saab,vehicle,RADIUS_RATIO,0.9
104,57,103,250.73,69,11,219,30,25,176,228,708,219,73,4,3,186,196,opel,vehicle,RADIUS_RATIO,0.9
83,44,68,169.12,61,8,147,45,19,143,170,325,180,74,1,1,185,191,bus,vehicle,RADIUS_RATIO,0.9
85,39,57,131.99,56,6,114,58,17,135,134,195,145,64,17,7,197,202,van,vehicle,RADIUS_RATIO,0.9
