"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,87.61,5,0,0,0,7,5,8,5,1,"true","kc1","t",0.4
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,-281.34,13,0,1,0,8,14,24,19,3,"true","kc1","t",0.4
93,7,3,6,257,1499.05,0.03,29.86,50.21,44757.43,0.5,2240.41,71,4,15,0,22,35,162,95,12,"true","kc1","t",0.4
23,1,1,1,67,307.19,0.21,4.74,64.87,1454.65,0.1,-281.2,18,0,1,0,7,17,44,23,1,"true","kc1","t",0.4
30,1,1,1,21,85.84,0.3,3.33,25.75,286.12,0.03,141.72,18,0,1,0,5,12,5,16,1,"true","kc1","t",0.4
30,1,1,1,54,108,0.03,39,2.77,4212,0.04,631.64,28,0,0,0,3,1,28,26,1,"true","kc1","t",0.4
35,3,1,3,108,529.94,0.08,13,40.76,6889.27,0.18,86.91,30,0,3,0,12,18,69,39,5,"true","kc1","t",0.4
25,4,1,4,57,232.99,0.07,13.5,17.26,3145.3,0.08,697.91,20,0,3,0,9,8,33,24,7,"true","kc1","t",0.4
20,7,7,3,54,240.81,0.1,9.58,25.13,2307.76,0.08,-125.48,14,0,1,0,10,12,31,23,13,"true","kc1","t",0.4
119,14,1,14,289,1605.28,0.03,30.72,52.25,49320.73,0.54,2511.02,85,26,6,0,18,29,190,99,27,"true","kc1","t",0.4
35,4,1,4,78,362.22,0.07,14.31,25.32,5182.54,0.12,15.68,31,0,2,0,12,13,47,31,7,"true","kc1","t",0.4
33,4,1,4,73,334.7,0.07,14.5,23.08,4853.18,0.11,462.84,30,0,1,0,12,12,44,29,7,"true","kc1","t",0.4
17,2,1,2,25,92.51,0.16,6.4,14.45,592.07,0.03,-141.7,12,0,3,0,8,5,17,8,3,"true","kc1","t",0.4
44,3,1,3,127,603.87,0.06,16,37.74,9661.93,0.2,-68.97,38,2,2,0,12,15,87,40,5,"true","kc1","t",0.4
84,15,9,15,230,1347.34,0.04,25.26,53.35,34029.33,0.45,1206.32,72,0,10,0,21,37,141,89,29,"true","kc1","t",0.4
56,3,1,3,150,769.39,0.07,14.09,54.62,10838.4,0.26,865.31,43,3,4,0,12,23,96,54,5,"true","kc1","t",0.4
58,3,1,3,191,1016.49,0.05,21,48.4,21346.25,0.34,608.87,46,2,3,0,15,25,121,70,5,"true","kc1","t",0.4
78,7,1,6,213,1189.6,0.06,17.71,67.19,21062.86,0.4,934.05,66,4,6,0,14,34,127,86,13,"true","kc1","t",0.4
75,8,3,8,250,1356.57,0.03,29.1,46.62,39470.86,0.45,2550.33,63,5,5,0,17,26,161,89,15,"true","kc1","t",0.4
12,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,-102.07,6,1,3,0,5,6,14,8,1,"true","kc1","t",0.4
11,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,-710.27,6,1,2,0,5,6,14,8,1,"true","kc1","t",0.4
69,10,1,10,199,1059.06,0.04,25,42.36,26476.59,0.35,1600.33,54,7,6,0,16,24,124,75,19,"true","kc1","t",0.4
39,5,3,5,86,430,0.09,11.67,36.86,5016.67,0.14,-329.41,33,1,1,0,14,18,56,30,8,"true","kc1","t",0.4
53,5,1,5,113,579.61,0.1,9.65,60.05,5594.49,0.19,41.17,47,0,0,0,12,23,76,37,8,"true","kc1","t",0.4
52,5,1,5,107,544.36,0.1,9.82,55.44,5344.61,0.18,428.16,46,0,1,0,12,22,71,36,8,"true","kc1","t",0.4
30,2,1,2,74,330,0.08,12.5,26.4,4124.97,0.11,-108.2,24,2,2,0,10,12,44,30,3,"true","kc1","t",0.4
27,3,1,3,77,394.95,0.14,7.1,55.59,2805.82,0.13,-17.3,22,0,3,0,11,24,46,31,5,"true","kc1","t",0.4
47,7,1,6,105,525,0.08,12.05,43.58,6323.86,0.18,474.37,43,0,2,0,10,22,52,53,13,"true","kc1","t",0.4
49,7,1,6,110,554.88,0.08,12.17,45.58,6755.1,0.18,312.71,44,0,3,0,10,23,54,56,13,"true","kc1","t",0.4
7,1,1,1,14,50.19,0.33,3,16.73,150.57,0.02,774.03,4,0,0,0,6,6,8,6,1,"true","kc1","t",0.4
66,12,5,12,177,922.07,0.05,20.45,45.08,18860.59,0.31,1132.02,55,4,5,0,15,22,117,60,23,"true","kc1","t",0.4
14,1,1,1,29,118.54,0.18,5.63,21.07,666.77,0.04,350.7,7,2,2,0,9,8,19,10,1,"true","kc1","t",0.4
29,3,1,3,64,300.83,0.11,9.17,32.82,2757.59,0.1,737.14,25,0,1,0,11,15,39,25,5,"true","kc1","t",0.4
6,1,1,1,14,48.43,0.4,2.5,19.37,121.08,0.02,54.29,4,0,0,0,5,6,8,6,1,"true","kc1","t",0.4
12,1,1,1,36,140.65,0.19,5.25,26.79,738.4,0.05,-566.43,9,0,0,0,7,8,24,12,1,"true","kc1","t",0.4
38,7,1,7,119,583.92,0.06,16,36.49,9342.72,0.19,1453.23,30,0,6,0,12,18,71,48,13,"true","kc1","t",0.4
132,16,11,13,322,2052.76,0.03,29.65,69.24,60862.61,0.68,4259.92,101,7,22,0,26,57,192,130,31,"true","kc1","t",0.4
26,4,1,4,81,418.76,0.08,11.79,35.53,4935.43,0.14,740.36,24,0,0,0,15,21,48,33,7,"true","kc1","t",0.4
56,5,1,4,178,988.72,0.08,13.19,74.95,13042.34,0.33,-161.7,48,1,5,0,13,34,109,69,9,"true","kc1","t",0.4
21,1,1,1,76,365.36,0.16,6.2,58.93,2265.23,0.12,540.44,14,0,0,0,8,20,45,31,1,"true","kc1","t",0.4
43,6,5,5,95,508.97,0.05,18.9,26.93,9619.48,0.17,577.65,30,0,10,0,21,20,59,36,11,"true","kc1","t",0.4
12,4,1,2,44,199.04,0.1,9.82,20.27,1954.18,0.07,89.79,10,0,0,0,12,11,26,18,7,"true","kc1","t",0.4
11,1,1,1,26,98.99,0.17,6,16.5,593.95,0.03,119.71,8,0,1,0,8,6,17,9,1,"true","kc1","t",0.4
26,2,1,2,68,319.63,0.14,7.15,44.72,2284.41,0.11,32.91,21,0,3,0,9,17,41,27,3,"true","kc1","t",0.4
80,11,1,11,274,1637.77,0.03,28.71,57.05,47016.12,0.55,2711.99,66,2,10,0,22,41,167,107,21,"true","kc1","t",0.4
63,8,1,8,185,1069.55,0.04,24.33,43.95,26025.75,0.36,1620.8,52,2,7,0,22,33,112,73,15,"true","kc1","t",0.4
10,2,1,2,23,87.57,0.08,12.83,6.82,1123.8,0.03,-476.76,8,0,0,0,11,3,16,7,3,"true","kc1","t",0.4
9,2,1,1,31,129.27,0.18,5.6,23.08,723.9,0.04,-683.99,6,0,0,0,8,10,17,14,3,"true","kc1","t",0.4
35,5,1,4,89,448.95,0.05,20.4,22.01,9158.6,0.15,388.88,29,1,3,0,18,15,55,34,9,"true","kc1","t",0.4
9,1,1,1,25,92.51,0.4,2.5,37,231.28,0.03,-249.55,7,0,0,0,5,8,17,8,1,"true","kc1","t",0.4
16,2,1,2,35,136.74,0.07,13.75,9.94,1880.19,0.05,-234.93,11,0,1,2,11,4,25,10,3,"true","kc1","t",0.4
5,1,1,1,10,28.07,0.27,3.75,7.49,105.28,0.01,-340.01,3,0,0,0,5,2,7,3,1,"true","kc1","t",0.4
16,1,1,1,28,109.39,0.22,4.57,23.93,500.08,0.04,367.22,11,1,1,0,8,7,20,8,3,"true","kc1","t",0.4
4,1,1,1,7,19.65,0.33,3,6.55,58.95,0.01,253.56,2,0,0,0,6,1,6,1,1,"true","kc1","t",0.4
12,2,1,2,24,88.81,0.29,3.43,25.9,304.49,0.03,-544.79,8,2,0,0,6,7,16,8,3,"true","kc1","t",0.4
8,2,1,1,20,74.01,0.19,5.25,14.1,388.55,0.02,-371.06,5,0,0,0,7,6,11,9,3,"true","kc1","t",0.4
4,1,1,1,5,11.61,0.5,2,5.8,23.22,0,169.31,2,0,0,0,4,1,4,1,1,"true","kc1","t",0.4
14,2,1,2,29,120.93,0.15,6.87,17.59,831.38,0.04,443.15,11,1,0,0,10,8,18,11,3,"true","kc1","t",0.4
56,3,1,2,101,537.51,0.13,7.5,71.67,4031.36,0.18,645.14,33,5,14,0,10,30,56,45,5,"true","kc1","t",0.4
30,2,1,2,55,248.8,0.11,9.17,27.14,2280.63,0.08,-85.21,21,0,4,0,11,12,35,20,3,"true","kc1","t",0.4
52,8,1,8,247,1440.72,0.04,23.08,62.43,33247.47,0.48,1790.16,45,0,2,3,18,39,147,100,15,"true","kc1","t",0.4
41,6,3,6,109,572.02,0.05,18.45,31,10553.84,0.19,1588.24,35,0,2,0,18,20,68,41,11,"true","kc1","t",0.4
4,1,1,1,1,0,0,0,0,0,0,604.78,1,1,0,0,1,0,1,0,1,"true","kc1","t",0.4
15,1,1,1,26,101.58,0.29,3.5,29.02,355.53,0.03,315.38,8,2,3,0,7,8,18,8,1,"true","kc1","t",0.4
9,1,1,1,31,107.24,0.29,3.43,31.28,367.69,0.04,105.82,7,0,0,0,4,7,19,12,1,"true","kc1","t",0.4
5,1,1,1,8,24,0.33,3,8,72,0.01,-806.79,3,0,0,0,6,2,6,2,1,"true","kc1","t",0.4
25,1,1,1,65,309.07,0.15,6.5,47.55,2008.94,0.1,417.23,13,1,2,0,9,18,39,26,1,"true","kc1","t",0.4
45,1,1,1,0,0,0,0,0,0,0,-102.82,0,0,0,0,0,0,0,0,1,"true","kc1","t",0.4
4,1,1,1,4,8,0.67,1.5,5.33,12,0,-510.73,2,0,0,0,3,1,3,1,1,"true","kc1","t",0.4
23,3,1,2,70,316.65,0.07,14.18,22.33,4490.66,0.11,817.26,18,1,1,0,12,11,44,26,5,"true","kc1","t",0.4
14,1,1,1,33,134.89,0.24,4.2,32.11,566.52,0.04,279.94,10,0,0,0,7,10,21,12,1,"true","kc1","t",0.4
18,2,1,1,39,156,0.1,9.64,16.18,1504.29,0.05,-477.17,14,0,2,0,9,7,24,15,3,"true","kc1","t",0.4
40,4,1,3,110,544.96,0.07,15.17,35.93,8265.25,0.18,317.86,31,1,2,0,13,18,68,42,7,"true","kc1","t",0.4
24,3,1,2,80,371.51,0.07,13.85,26.83,5143.96,0.12,269.81,18,1,1,0,12,13,50,30,5,"true","kc1","t",0.4
52,6,1,5,133,670.9,0.06,16.25,41.29,10902.2,0.22,303.25,43,3,2,0,13,20,83,50,11,"true","kc1","t",0.4
11,1,1,1,14,51.81,0.25,4,12.95,207.22,0.02,407.22,6,0,1,0,8,5,9,5,1,"true","kc1","t",0.4
23,6,6,2,70,346.79,0.05,19.79,17.52,6863.63,0.12,250.92,17,0,4,0,19,12,45,25,11,"true","kc1","t",0.4
4,1,1,1,4,8,0.67,1.5,5.33,12,0,-315.75,2,0,0,0,3,1,3,1,1,"true","kc1","t",0.4
38,8,8,5,191,1123.58,0.04,28.27,39.75,31758.83,0.37,1617.64,26,1,8,0,27,32,124,67,15,"true","kc1","t",0.4
113,15,11,14,527,3493.67,0.03,33.28,104.99,116258.98,1.16,6264.45,88,5,18,0,25,74,330,197,29,"true","kc1","t",0.4
8,1,1,1,26,106.27,0.26,3.85,27.6,409.16,0.04,1117.95,4,0,2,0,7,10,15,11,1,"true","kc1","t",0.4
38,6,3,6,167,894.71,0.05,20.8,43.01,18609.99,0.3,1537.49,26,0,10,0,16,25,102,65,11,"true","kc1","t",0.4
47,13,10,10,231,1303.73,0.03,36.93,35.3,48144.92,0.43,2459.32,40,0,5,0,22,28,137,94,25,"true","kc1","t",0.4
8,1,1,1,17,60.94,0.2,5,12.19,304.72,0.02,359.09,4,0,2,0,8,4,12,5,1,"true","kc1","t",0.4
4,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,-183.03,2,0,0,0,3,2,3,2,1,"true","kc1","t",0.4
15,3,1,1,43,204.46,0.1,9.69,21.1,1981.69,0.07,171.89,10,0,3,0,14,13,25,18,5,"true","kc1","t",0.4
38,5,1,5,61,307.71,0.07,15,20.51,4615.62,0.1,35.49,19,0,17,0,18,15,36,25,7,"true","kc1","t",0.4
48,12,1,11,177,977.67,0.04,26.92,36.31,26321.9,0.33,1282.72,38,2,6,0,20,26,107,70,21,"true","kc1","t",0.4
70,15,14,3,293,1662.02,0.02,41.3,40.24,68641.45,0.55,3291.26,52,0,11,0,21,30,175,118,29,"true","kc1","t",0.4
23,5,3,3,116,633.29,0.04,22.8,27.78,14439.1,0.21,301.14,16,0,5,0,24,20,78,38,9,"true","kc1","t",0.4
27,8,6,5,128,694.56,0.05,20.16,34.45,14002.37,0.23,718.07,22,0,3,0,18,25,72,56,15,"true","kc1","t",0.4
10,1,1,1,26,104,0.23,4.28,24.31,444.89,0.03,-104.21,5,0,3,0,7,9,15,11,1,"true","kc1","t",0.4
13,1,1,1,46,213.62,0.13,7.46,28.62,1594.5,0.07,-584.28,9,2,0,0,11,14,27,19,1,"true","kc1","t",0.4
23,8,8,8,109,545,0.07,14.71,37.05,8017.24,0.18,964.84,19,0,1,0,13,19,66,43,15,"true","kc1","t",0.4
11,4,4,4,38,164.23,0.1,9.78,16.8,1605.84,0.05,288.79,8,0,1,0,11,9,22,16,7,"true","kc1","t",0.4
9,2,1,2,42,184.48,0.13,7.73,23.87,1425.51,0.06,292.71,6,0,1,0,10,11,25,17,3,"true","kc1","t",0.4
11,3,3,2,43,202.12,0.14,6.97,29.01,1408.1,0.07,425.2,7,0,2,0,11,15,24,19,5,"true","kc1","t",0.4
49,8,1,7,185,1088.29,0.06,17.81,61.1,19385.15,0.36,1576.05,35,3,9,0,19,40,110,75,15,"true","kc1","t",0.4
53,11,6,9,354,2139.72,0.02,44.31,48.29,94805.86,0.71,5400.87,43,0,8,0,27,39,226,128,21,"true","kc1","t",0.4
21,5,4,2,81,418.76,0.05,21,19.94,8794.04,0.14,615.92,13,0,6,0,21,15,51,30,9,"true","kc1","t",0.4
16,4,1,4,86,430,0.11,8.9,48.29,3829.05,0.14,101.72,11,0,3,0,11,21,52,34,7,"true","kc1","t",0.4
22,5,3,4,123,679.4,0.04,25,27.18,16984.95,0.23,986.93,15,0,5,0,25,21,81,42,9,"true","kc1","t",0.4
24,5,3,4,129,724.3,0.04,24.87,29.12,18012.97,0.24,764.72,19,0,3,0,26,23,85,44,9,"true","kc1","t",0.4
27,6,1,5,131,697.17,0.05,18.67,37.35,13013.89,0.23,224.06,22,0,3,0,16,24,75,56,11,"true","kc1","t",0.4
27,5,1,4,93,408.49,0.05,21.33,19.15,8714.36,0.14,904.95,20,0,5,0,12,9,61,32,9,"true","kc1","t",0.4
39,9,9,5,208,1233.59,0.03,35.34,34.9,43599.82,0.41,2547.28,29,0,8,0,29,32,130,78,17,"true","kc1","t",0.4
16,3,1,3,58,275.78,0.14,7,39.4,1930.48,0.09,365.58,12,0,2,0,9,18,30,28,5,"true","kc1","t",0.4
19,4,1,4,86,426.06,0.08,12.28,34.7,5231.08,0.14,32.29,13,0,4,0,13,18,52,34,7,"true","kc1","t",0.4
66,16,11,15,259,1608.25,0.04,25.03,64.25,40253.51,0.54,2711.51,45,1,18,0,23,51,148,111,31,"true","kc1","t",0.4
12,2,1,2,22,81.41,0.14,7.2,11.31,586.15,0.03,513.54,9,0,1,0,8,5,13,9,3,"true","kc1","t",0.4
19,5,5,4,84,423.73,0.07,14.17,29.91,6002.83,0.14,778.94,14,0,3,0,15,18,50,34,9,"true","kc1","t",0.4
9,3,3,2,50,216.1,0.07,13.5,16.01,2917.3,0.07,226.73,5,0,2,0,12,8,32,18,5,"true","kc1","t",0.4
29,4,3,3,69,348.06,0.1,9.95,34.99,3462.31,0.12,78.01,22,0,5,0,14,19,42,27,7,"true","kc1","t",0.4
286,27,5,25,481,2948.19,0.04,27.42,107.5,80852.59,0.98,4496.62,198,44,35,3,17,53,310,171,53,"true","kc1","t",0.4
26,3,1,3,68,326.9,0.09,11,29.72,3595.9,0.11,593.47,21,0,1,0,14,14,46,22,5,"true","kc1","t",0.4
64,11,1,11,177,954.44,0.06,18.15,52.58,17326.76,0.32,1367.13,58,2,2,0,16,26,118,59,21,"true","kc1","t",0.4
47,4,1,4,92,442.28,0.08,12.38,35.74,5473.17,0.15,966.92,38,2,5,0,12,16,59,33,7,"true","kc1","t",0.4
107,9,7,7,187,1109.05,0.05,19.95,55.59,22125.51,0.37,1153.14,71,11,19,2,21,40,111,76,17,"true","kc1","t",0.4
107,9,7,7,178,1051.43,0.05,19.65,53.5,20664.58,0.35,1095.31,70,11,20,2,21,39,105,73,17,"true","kc1","t",0.4
74,5,3,4,131,727.65,0.07,14.45,50.35,10515.73,0.24,687.82,46,9,11,3,16,31,75,56,9,"true","kc1","t",0.4
37,4,1,4,75,348.29,0.09,10.61,32.84,3694.35,0.12,477.91,27,3,5,0,11,14,48,27,7,"true","kc1","t",0.4
79,7,1,6,161,889.29,0.07,14.03,63.37,12478.8,0.3,-528.58,59,6,12,0,15,31,103,58,13,"true","kc1","t",0.4
134,15,8,14,303,1804.12,0.03,30.22,59.7,54519.67,0.6,2728.23,90,11,28,3,21,41,185,118,29,"true","kc1","t",0.4
55,4,3,3,152,894.16,0.06,16.14,55.37,14440.71,0.3,562.45,37,3,7,0,19,40,84,68,7,"true","kc1","t",0.4
22,3,1,2,61,279.68,0.08,12,23.31,3356.19,0.09,680.12,15,1,1,0,12,12,37,24,5,"true","kc1","t",0.4
22,3,1,2,73,325.54,0.06,16.2,20.09,5273.72,0.11,582.44,16,1,1,0,12,10,46,27,5,"true","kc1","t",0.4
8,3,1,3,13,36.5,0.2,5,7.3,182.48,0.01,123.39,5,0,1,0,5,2,9,4,5,"true","kc1","t",0.4
151,18,4,16,439,2790.97,0.03,38.54,72.43,107551.84,0.93,6322.66,120,3,24,2,26,56,273,166,34,"true","kc1","t",0.4
2,1,1,1,3,4.75,1,1,4.75,4.75,0,393.8,0,0,0,0,2,1,2,1,1,"true","kc1","t",0.4
2,1,1,1,5,11.61,0.5,2,5.8,23.22,0,-79.81,0,0,0,0,4,1,4,1,1,"true","kc1","t",0.4
70,13,4,12,291,1795.45,0.03,33.41,53.74,59984.29,0.6,3443.51,56,2,4,1,28,44,186,105,31,"true","kc1","t",0.4
4,1,1,1,7,19.65,0.4,2.5,7.86,49.13,0.01,-158.16,0,0,0,0,5,2,5,2,1,"true","kc1","t",0.4
2,1,1,1,6,15.51,0.4,2.5,6.2,38.77,0.01,82.17,0,0,0,0,5,1,5,1,1,"true","kc1","t",0.4
27,1,1,1,37,154.29,0.22,4.5,34.29,694.29,0.05,-200.49,9,5,4,0,6,12,19,18,1,"true","kc1","t",0.4
57,1,1,1,123,679.4,0.15,6.57,103.45,4461.99,0.23,394.05,42,2,11,0,9,37,69,54,1,"true","kc1","t",0.4
4,1,1,1,4,8,0.67,1.5,5.33,12,0,-532.44,2,0,0,0,3,1,3,1,1,"true","kc1","t",0.4
7,1,1,1,15,45,0.5,2,22.5,90,0.02,530.94,5,0,0,0,4,4,11,4,1,"true","kc1","t",0.4
7,1,1,1,9,25.27,0.27,3.75,6.74,94.75,0.01,-90.73,4,0,1,0,5,2,6,3,1,"true","kc1","t",0.4
16,2,1,2,32,118.41,0.14,7.2,16.45,852.58,0.04,-562,13,0,1,0,8,5,23,9,3,"true","kc1","t",0.4
11,1,1,1,11,36.54,0.33,3,12.18,109.62,0.01,917.25,6,0,1,0,6,4,7,4,1,"true","kc1","t",0.4
8,2,1,1,17,62.91,0.15,6.75,9.32,424.63,0.02,-98.59,6,0,0,0,9,4,11,6,3,"true","kc1","t",0.4
62,14,1,9,445,3011.84,0.02,41.88,71.91,126141.8,1,7151.57,50,0,5,0,37,72,282,163,36,"true","kc1","t",0.4
39,4,1,4,88,423.05,0.07,13.43,31.49,5682.93,0.14,208.99,34,1,2,0,13,15,57,31,7,"true","kc1","t",0.4
165,13,11,12,365,2206.2,0.02,43.27,50.99,95460.74,0.74,5122.24,112,22,23,0,27,39,240,125,25,"true","kc1","t",0.4
45,3,1,3,83,403.21,0.08,12.19,33.08,4914.15,0.13,291.61,25,11,7,0,13,16,53,30,5,"true","kc1","t",0.4
3,1,1,1,1,0,0,0,0,0,0,-136.8,1,0,0,0,1,0,1,0,1,"true","kc1","t",0.4
21,2,1,2,61,279.68,0.16,6.43,43.51,1797.96,0.09,-21.72,15,0,0,0,10,14,43,18,3,"true","kc1","t",0.4
23,1,1,1,69,331.71,0.18,5.6,59.23,1857.56,0.11,282.96,13,0,0,0,8,20,41,28,1,"true","kc1","t",0.4
12,1,1,1,24,98.1,0.26,3.85,25.48,377.68,0.03,-180.37,6,0,0,0,7,10,13,11,1,"true","kc1","t",0.4
44,7,1,5,124,650.74,0.07,14,46.48,9110.4,0.22,452.51,35,2,3,0,14,24,76,48,13,"true","kc1","t",0.4
17,4,3,3,34,136,0.13,7.71,17.63,1049.14,0.05,-207.6,14,0,1,0,9,7,22,12,7,"true","kc1","t",0.4
40,5,3,4,95,470.65,0.07,13.72,34.3,6458.35,0.16,516.15,35,0,3,0,13,18,57,38,9,"true","kc1","t",0.4
179,13,4,12,361,2241.61,0.04,22.82,98.25,51144.16,0.75,3092.41,131,24,22,0,17,57,208,153,25,"true","kc1","t",0.4
92,8,3,8,212,1184.01,0.07,15.17,78.07,17957.52,0.39,749.2,75,5,2,0,12,36,121,91,15,"true","kc1","t",0.4
14,1,1,1,26,108.42,0.33,3,36.14,325.25,0.04,318.22,4,0,1,0,6,12,14,12,1,"true","kc1","t",0.4
92,8,3,8,203,1121.28,0.07,15.35,73.03,17214.99,0.37,932.85,75,4,4,0,12,34,116,87,15,"true","kc1","t",0.4
64,4,1,4,138,744.14,0.09,10.82,68.76,8053.51,0.25,385.2,45,12,5,0,11,31,77,61,7,"true","kc1","t",0.4
184,16,12,13,437,2922,0.03,33.6,86.96,98179.22,0.97,5136.99,137,27,18,0,28,75,257,180,31,"true","kc1","t",0.4
17,4,3,3,32,125.02,0.12,8.25,15.15,1031.42,0.04,-79.22,15,0,0,0,9,6,21,11,7,"true","kc1","t",0.4
38,5,3,4,93,460.74,0.08,13,35.44,5989.62,0.15,576.27,34,0,2,0,13,18,57,36,9,"true","kc1","t",0.4
6,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,947.14,3,0,1,0,4,3,4,3,1,"true","kc1","t",0.4
41,4,1,4,85,421.11,0.1,10.47,40.21,4409.92,0.14,518.1,35,0,3,0,13,18,56,29,7,"true","kc1","t",0.4
13,1,1,1,7,16.25,1.33,0.75,21.67,12.19,0.01,-73.56,8,0,1,0,1,4,1,6,1,"true","kc1","t",0.4
20,4,3,3,36,147.15,0.14,7.31,20.12,1076.02,0.05,-403.15,14,0,3,0,9,8,23,13,7,"true","kc1","t",0.4
50,5,4,4,122,625.77,0.06,16.5,37.93,10325.25,0.21,-260.21,43,2,3,0,15,20,78,44,9,"true","kc1","t",0.4
17,1,1,1,50,219.62,0.2,5,43.92,1098.08,0.07,660.15,9,0,1,0,7,14,30,20,1,"true","kc1","t",0.4
41,6,5,5,95,508.97,0.05,18.9,26.93,9619.48,0.17,477.07,29,0,9,0,21,20,59,36,11,"true","kc1","t",0.4
29,4,1,1,60,278.63,0.08,12.46,22.36,3472.18,0.09,29.64,22,0,2,0,12,13,33,27,7,"true","kc1","t",0.4
125,8,5,7,272,1704.57,0.06,17.69,96.33,30162.15,0.57,1621.74,88,19,16,0,18,59,156,116,15,"true","kc1","t",0.4
42,5,3,4,113,570.02,0.06,15.47,36.84,8820.26,0.19,231.52,38,0,2,0,14,19,71,42,9,"true","kc1","t",0.4
17,4,3,3,32,125.02,0.12,8.25,15.15,1031.42,0.04,-208.51,15,0,0,0,9,6,21,11,7,"true","kc1","t",0.4
14,3,3,3,40,169.92,0.11,8.94,19.01,1518.63,0.06,-671.22,10,0,1,0,11,8,27,13,5,"true","kc1","t",0.4
9,1,1,1,6,15.51,0.5,2,7.75,31.02,0.01,324.03,5,0,2,0,4,2,4,2,1,"true","kc1","t",0.4
3,1,1,1,1,0,0,0,0,0,0,756.43,1,0,0,0,1,0,1,0,1,"true","kc1","t",0.4
11,2,1,2,26,108.42,0.29,3.5,30.98,379.46,0.04,-688.95,9,0,0,0,7,11,15,11,3,"true","kc1","t",0.4
35,3,1,3,105,546.99,0.08,12.78,42.79,6991.99,0.18,-29.8,26,4,3,0,14,23,63,42,5,"true","kc1","t",0.4
7,2,1,2,11,34.87,0.19,5.25,6.64,183.06,0.01,446.89,5,0,0,0,7,2,8,3,3,"true","kc1","t",0.4
34,5,1,5,99,490.47,0.05,18.75,26.16,9196.23,0.16,697.45,27,0,2,0,15,16,59,40,9,"true","kc1","t",0.4
24,4,1,3,55,261.51,0.06,17.45,14.98,4564.69,0.09,-251.58,19,0,3,0,16,11,31,24,7,"true","kc1","t",0.4
35,4,1,4,85,432.43,0.07,13.82,31.3,5974.42,0.14,684.63,28,1,3,1,15,19,50,35,7,"true","kc1","t",0.4
48,4,1,4,132,692.73,0.05,20.7,33.47,14339.44,0.23,771.03,41,0,3,2,18,20,86,46,7,"true","kc1","t",0.4
61,7,1,7,167,942.52,0.09,11.57,81.45,10906.35,0.31,673.6,47,3,9,0,15,35,113,54,13,"true","kc1","t",0.4
20,1,1,1,27,112.59,0.41,2.43,46.36,273.43,0.04,-242.26,15,1,0,0,4,14,10,17,1,"true","kc1","t",0.4
