"V1","V2","V3","V4","V5","class","dataset_name","altered_attribute","noise_level"
-0.5,-0.753256,1.892023,0.675297,0.589142,"1","phoneme","V1",0.6
-0.44,0.100938,1.142837,0.369351,-0.136583,"1","phoneme","V1",0.6
0.05,1.205423,-1.311669,-0.70059,-0.307987,"1","phoneme","V1",0.6
-1.47,-0.275359,2.084517,-1.572716,1.002329,"1","phoneme","V1",0.6
0.95,-0.508328,0.254224,-0.84435,-0.136583,"1","phoneme","V1",0.6
-0.87,-0.167399,1.089132,-1.222718,-0.136583,"1","phoneme","V1",0.6
0.31,1.787816,-1.299678,-0.758001,-0.37107,"1","phoneme","V1",0.6
-0.22,-1.106193,-0.166903,2.292012,-1.516792,"1","phoneme","V1",0.6
0.78,-0.193907,-1.072959,-0.321396,-0.306704,"1","phoneme","V1",0.6
1.6,-0.315999,-0.631211,-0.32473,0.097983,"1","phoneme","V1",0.6
0.13,1.100177,-1.133497,-0.673721,-0.304441,"1","phoneme","V1",0.6
-1.17,0.38784,-0.202048,-0.784563,-0.333056,"1","phoneme","V1",0.6
-0.46,0.778977,1.146835,-1.186049,-0.624576,"1","phoneme","V1",0.6
-0.95,-0.810326,-0.035312,2.291083,-1.246162,"1","phoneme","V1",0.6
0.44,-0.185059,-1.086493,-0.603166,-0.240667,"1","phoneme","V1",0.6
1.25,-0.886582,-0.654174,-0.376432,-0.290369,"1","phoneme","V1",0.6
-0.53,-1.073977,-0.437752,0.715785,3.085261,"1","phoneme","V1",0.6
-0.61,-0.219945,1.272819,-1.258192,-0.53,"1","phoneme","V1",0.6
0.11,2.28307,-1.500475,-0.878591,-0.136583,"1","phoneme","V1",0.6
0.22,1.22293,0.222454,-0.104855,-0.415888,"1","phoneme","V1",0.6
-0.31,-0.271058,1.286359,-1.459677,-0.841255,"1","phoneme","V1",0.6
-0.64,1.350137,0.769173,0.37972,-0.136583,"1","phoneme","V1",0.6
0.9,1.102269,-1.190529,-0.250203,-0.389617,"1","phoneme","V1",0.6
2.18,-1.763551,-0.601145,-0.264793,-0.301443,"1","phoneme","V1",0.6
1.36,0.992464,-1.359988,0.253906,-0.530246,"1","phoneme","V1",0.6
-1.09,-0.264079,1.276591,-1.197072,-0.136583,"1","phoneme","V1",0.6
0.85,0.285955,-0.256734,0.018074,-0.46668,"1","phoneme","V1",0.6
-0.6,0.171697,0.815054,-1.066135,-0.579053,"1","phoneme","V1",0.6
0.28,0.163413,-0.201299,-0.222004,0.221917,"1","phoneme","V1",0.6
-0.26,0.630996,1.45749,-1.444097,-0.582395,"1","phoneme","V1",0.6
1.46,-0.75932,-0.608944,-0.383389,0.001322,"1","phoneme","V1",0.6
-1.02,-0.858875,0.388928,2.381763,-0.136583,"1","phoneme","V1",0.6
-0.88,-0.663642,1.259172,0.501438,-0.774192,"1","phoneme","V1",0.6
-0.26,-0.059004,2.02314,-1.417147,-0.136583,"1","phoneme","V1",0.6
-1.56,1.3652,-1.365034,-0.857311,-0.472062,"1","phoneme","V1",0.6
-0.75,0.628482,-1.195514,-0.725755,-0.343627,"1","phoneme","V1",0.6
0.32,1.610577,0.851913,0.087995,-0.490439,"1","phoneme","V1",0.6
1.68,0.136682,-1.051061,-0.604258,0.013944,"1","phoneme","V1",0.6
2.82,-1.793329,-0.935565,-0.587288,-0.239095,"1","phoneme","V1",0.6
1.05,-0.308193,-0.988252,-0.354055,-0.245539,"1","phoneme","V1",0.6
-0.25,1.153088,-1.248944,-0.208438,-0.548616,"1","phoneme","V1",0.6
-0.07,0.068331,0.801039,-1.070319,-0.507738,"1","phoneme","V1",0.6
0.79,0.648398,-1.140631,-0.234463,-0.580962,"1","phoneme","V1",0.6
-0.52,-0.946234,0.890425,1.231262,1.065645,"1","phoneme","V1",0.6
0.52,0.720285,-1.147097,-0.295132,0.064494,"1","phoneme","V1",0.6
-1.15,-0.308479,1.586241,-1.405747,-0.624088,"1","phoneme","V1",0.6
-0.64,-0.382761,1.781782,0.711353,-0.849314,"1","phoneme","V1",0.6
2.36,-0.867703,-0.965326,-0.337489,-0.235757,"1","phoneme","V1",0.6
3.41,-1.762329,-0.298651,-0.65953,-0.251297,"1","phoneme","V1",0.6
3.8,-0.766269,-0.941616,-0.559184,-0.194491,"1","phoneme","V1",0.6
-0.13,-0.342555,1.920561,-1.492246,-0.714711,"1","phoneme","V1",0.6
-0.53,1.677036,-1.280891,0.083369,2.416678,"1","phoneme","V1",0.6
-2.27,-0.942313,-0.221611,0.345568,-0.136583,"1","phoneme","V1",0.6
1.85,-1.00476,-0.68483,-0.374859,-0.033525,"1","phoneme","V1",0.6
-0.26,-0.788455,0.817334,1.153525,-0.895139,"1","phoneme","V1",0.6
1.28,0.873765,-0.201331,1.333857,-0.753821,"1","phoneme","V1",0.6
0.55,0.766157,0.127645,-0.802293,0.130515,"1","phoneme","V1",0.6
0.68,0.593419,-0.420639,0.140444,0.8875,"1","phoneme","V1",0.6
-0.34,0.592503,0.519473,0.069369,0.189886,"1","phoneme","V1",0.6
0.2,1.623232,-1.479012,-0.799656,-0.35085,"1","phoneme","V1",0.6
2.76,-1.026833,0.522585,-0.87806,-0.34226,"1","phoneme","V1",0.6
0.33,0.587826,0.023219,-1.009064,2.673497,"1","phoneme","V1",0.6
-1.95,-0.274243,-1.059457,0.268844,-0.475408,"1","phoneme","V1",0.6
1.64,-0.713373,-0.941697,-0.339553,-0.226048,"1","phoneme","V1",0.6
-1.64,-0.117461,0.649693,0.250508,-0.630971,"1","phoneme","V1",0.6
-0.33,2.2495,-1.508267,-0.799488,0.14458,"1","phoneme","V1",0.6
-0.24,-0.031157,-0.358784,-0.029477,-0.81546,"1","phoneme","V1",0.6
-1.06,-1.106432,-0.167056,2.29166,-1.516672,"1","phoneme","V1",0.6
2.83,-0.917316,-0.971787,-0.364714,-0.007413,"1","phoneme","V1",0.6
-0.12,1.953457,-1.440271,-0.779317,-0.377776,"1","phoneme","V1",0.6
0.12,-0.058264,1.925531,-1.469365,-0.791229,"1","phoneme","V1",0.6
0.45,0.322803,-0.516547,-0.351831,-0.016079,"1","phoneme","V1",0.6
-0.18,-0.092657,0.645987,-0.969075,-0.401417,"1","phoneme","V1",0.6
-1.28,-1.054891,-0.257779,1.948861,-1.29165,"1","phoneme","V1",0.6
-1.72,0.081891,0.686855,-1.010689,-0.136583,"1","phoneme","V1",0.6
0.26,1.601412,-1.217178,-0.700633,0.262494,"1","phoneme","V1",0.6
0.51,0.564091,0.135089,-0.036787,-1.176583,"1","phoneme","V1",0.6
-0.99,-0.384427,1.655128,-1.269181,-0.58501,"1","phoneme","V1",0.6
-0.9,-1.023839,-0.112338,0.252265,-0.927937,"1","phoneme","V1",0.6
0.66,-0.793741,-0.916654,-0.38653,-0.02843,"1","phoneme","V1",0.6
1.73,-1.084284,-0.946349,-0.594141,-0.015135,"1","phoneme","V1",0.6
-0.33,-0.781888,0.481242,1.009099,-0.136583,"1","phoneme","V1",0.6
1.77,-0.567653,-0.511269,-0.261242,0.83758,"1","phoneme","V1",0.6
-0.35,-0.068005,1.295328,-1.357195,-0.556585,"1","phoneme","V1",0.6
1.15,0.649185,0.141903,0.08095,0.385706,"1","phoneme","V1",0.6
-0.31,2.092308,-1.335776,-0.74084,0.191019,"1","phoneme","V1",0.6
-0.44,-0.084526,1.896475,-1.343851,2.05698,"1","phoneme","V1",0.6
-0.87,-0.798245,-0.159778,0.559879,-0.136583,"1","phoneme","V1",0.6
-0.99,0.366325,0.561951,-1.113238,-0.136583,"1","phoneme","V1",0.6
-0.85,-0.836655,-0.397054,0.634943,1.7121,"1","phoneme","V1",0.6
-0.35,-0.8605,-2.033262,1.70474,-0.136583,"1","phoneme","V1",0.6
-1.04,-0.219182,1.962325,-1.37761,-0.136583,"1","phoneme","V1",0.6
0.37,1.770155,-1.323117,-0.1416,1.13166,"1","phoneme","V1",0.6
-1.32,0.831065,-0.050492,-0.099852,-0.451924,"1","phoneme","V1",0.6
1.08,-1.165675,-0.909918,-0.388181,-0.276368,"1","phoneme","V1",0.6
1,-0.877793,-2.182446,1.673153,-0.136583,"1","phoneme","V1",0.6
-0.61,1.503992,0.647576,-0.970508,-0.471044,"1","phoneme","V1",0.6
0.31,0.180768,-0.48463,-0.2566,-0.381942,"1","phoneme","V1",0.6
0.15,1.711992,0.162444,-1.096798,-0.466958,"1","phoneme","V1",0.6
-1.47,0.015162,0.928083,-1.079387,-0.136583,"1","phoneme","V1",0.6
-0.15,1.192697,-1.388669,-0.739041,-0.34572,"1","phoneme","V1",0.6
0.65,1.705706,0.041045,-0.76999,-0.369839,"1","phoneme","V1",0.6
-0.87,-0.21004,1.419843,-1.149071,-0.591085,"1","phoneme","V1",0.6
-0.03,0.942855,-1.197645,-0.725343,-0.335785,"1","phoneme","V1",0.6
1.84,-1.152934,-0.715605,-0.396411,0.012634,"1","phoneme","V1",0.6
-0.73,0.109245,0.29213,-0.916804,0.240223,"1","phoneme","V1",0.6
-0.67,0.260727,-1.213326,-0.256918,-0.516176,"1","phoneme","V1",0.6
-0.14,1.146931,0.4265,0.1366,-0.444699,"1","phoneme","V1",0.6
2.35,-1.018849,-0.519864,-0.241423,-0.581817,"1","phoneme","V1",0.6
0.5,0.680652,-1.23849,-0.198846,-0.604686,"1","phoneme","V1",0.6
-0.21,2.421733,-1.452235,-0.801753,-0.398778,"1","phoneme","V1",0.6
0.3,-2.707322,-2.003341,-1.058362,-0.63265,"1","phoneme","V1",0.6
-0.93,-0.444923,1.208568,1.208137,-0.922781,"1","phoneme","V1",0.6
0.93,0.713388,0.284566,-0.854259,-0.372623,"1","phoneme","V1",0.6
0.07,0.830853,-1.208766,-0.663642,0.097495,"1","phoneme","V1",0.6
1.3,0.0553,-1.007624,-0.275108,-0.244711,"1","phoneme","V1",0.6
-1.06,-0.591968,1.53353,-1.618177,-0.136583,"1","phoneme","V1",0.6
-0.76,0.286683,0.611603,-0.036994,-0.420949,"1","phoneme","V1",0.6
0.04,-0.762361,-0.240645,0.240976,1.16541,"1","phoneme","V1",0.6
1.53,2.23634,-1.251515,-0.820675,1.014114,"1","phoneme","V1",0.6
1.09,-0.22065,-1.035606,-0.599172,-0.237737,"1","phoneme","V1",0.6
-0.55,-1.066584,-0.197556,2.141697,-1.223451,"1","phoneme","V1",0.6
0.5,-0.252928,-1.219371,-0.33253,-0.136583,"1","phoneme","V1",0.6
0.13,-0.511613,-1.268183,1.797467,-0.902698,"1","phoneme","V1",0.6
0.35,1.024319,-1.268846,-0.094534,1.257861,"1","phoneme","V1",0.6
-0.09,-0.825583,0.212283,1.543416,-1.635543,"1","phoneme","V1",0.6
4.11,-1.016956,-0.997835,-0.617848,-0.239472,"1","phoneme","V1",0.6
2.27,-1.851206,-0.648584,-0.342697,0.02534,"1","phoneme","V1",0.6
-0.22,1.43657,1.045801,-1.11523,-0.509865,"1","phoneme","V1",0.6
-1.02,1.453032,0.801115,-1.11011,-0.136583,"1","phoneme","V1",0.6
0.1,-0.998171,-0.413961,0.747348,1.756869,"1","phoneme","V1",0.6
-0.46,-0.112538,1.154582,-1.142917,-0.541412,"1","phoneme","V1",0.6
2.99,-0.513473,-0.996691,-0.609571,-0.232785,"1","phoneme","V1",0.6
0.08,0.84097,-1.203281,-0.228247,0.08212,"1","phoneme","V1",0.6
-1.31,-1.145098,-0.444762,-1.221828,3.574489,"1","phoneme","V1",0.6
-0.29,0.541225,-0.122729,-0.181981,-0.375113,"1","phoneme","V1",0.6
-0.21,-1.021885,-0.417464,-1.275212,2.564779,"1","phoneme","V1",0.6
1.72,0.204092,-0.266362,-0.070068,0.9938,"1","phoneme","V1",0.6
1.6,-0.543059,-0.597954,-0.317699,-0.26898,"1","phoneme","V1",0.6
-0.75,-0.14941,1.376155,-1.203511,-0.136583,"1","phoneme","V1",0.6
-0.69,1.80248,-1.328647,-0.729559,-0.353043,"1","phoneme","V1",0.6
-0.47,1.46544,-1.20162,-0.686184,0.177822,"1","phoneme","V1",0.6
-0.34,1.295287,-1.235317,-0.214163,-0.417922,"1","phoneme","V1",0.6
-0.32,0.019709,1.624385,-1.406339,-0.136583,"1","phoneme","V1",0.6
1.77,-0.863052,0.756638,-0.915949,-0.359828,"1","phoneme","V1",0.6
-0.77,2.430428,-1.499986,-0.834377,-0.421967,"1","phoneme","V1",0.6
1.04,1.500761,-1.405588,0.80647,-0.636153,"1","phoneme","V1",0.6
-0.18,-1.088501,-0.336933,-1.146073,-1.688736,"1","phoneme","V1",0.6
-0.57,0.132287,1.931334,-1.253525,0.8353,"1","phoneme","V1",0.6
0.21,-0.293618,-1.052512,-0.607473,-0.241205,"1","phoneme","V1",0.6
-0.62,0.550484,0.068563,-0.016398,-0.487348,"1","phoneme","V1",0.6
-0.56,-1.175449,-0.467973,1.24575,3.057082,"1","phoneme","V1",0.6
-0.46,1.082775,-0.163077,1.442629,-0.889693,"1","phoneme","V1",0.6
2.55,-0.144533,-1.088716,-0.593593,-0.136583,"1","phoneme","V1",0.6
0.69,1.063987,0.865074,0.748272,1.667209,"1","phoneme","V1",0.6
-0.26,1.714307,-1.282636,-0.177712,0.458229,"1","phoneme","V1",0.6
-2.07,0.114227,1.647099,-1.435279,-0.136583,"1","phoneme","V1",0.6
-0.14,0.745536,-0.115589,-1.042665,1.869703,"1","phoneme","V1",0.6
-0.64,-0.85946,-0.414259,0.660314,1.511739,"1","phoneme","V1",0.6
-0.6,0.723528,0.373876,0.550674,-0.796319,"1","phoneme","V1",0.6
-1.2,0.864823,0.717327,0.468214,-0.136583,"1","phoneme","V1",0.6
1.85,-1.758849,-0.714679,-0.389236,0.020425,"1","phoneme","V1",0.6
2.25,-1.072646,-0.531208,-0.30779,-0.273894,"1","phoneme","V1",0.6
-0.38,0.955827,-0.204679,0.451442,0.597939,"1","phoneme","V1",0.6
-0.65,-0.938647,0.932945,1.108643,1.099898,"1","phoneme","V1",0.6
2.62,-1.083115,-0.953186,-0.598348,-0.227433,"1","phoneme","V1",0.6
-0.73,0.50339,1.390343,-1.291471,-0.136583,"1","phoneme","V1",0.6
-0.76,-0.178867,1.2963,0.473012,-0.564847,"1","phoneme","V1",0.6
-0.65,1.929134,-1.294969,-0.186355,0.148145,"1","phoneme","V1",0.6
-0.41,-1.149097,-0.332597,0.819653,2.757667,"1","phoneme","V1",0.6
0.94,-0.414523,-0.460398,-0.248923,-0.69208,"1","phoneme","V1",0.6
-0.95,-0.816692,-0.200269,-1.711944,-0.136583,"1","phoneme","V1",0.6
-0.51,-0.83575,0.216982,1.601116,-1.04057,"1","phoneme","V1",0.6
-0.27,-0.929371,-0.308192,0.501514,-0.136583,"1","phoneme","V1",0.6
-0.91,0.710333,1.98962,-1.260751,-0.56808,"1","phoneme","V1",0.6
-1.06,-0.143018,1.961277,-1.409406,-0.136583,"1","phoneme","V1",0.6
1.11,0.230894,-0.281815,-0.006409,-0.3636,"1","phoneme","V1",0.6
0.03,1.71869,-1.358723,-0.85319,1.686093,"1","phoneme","V1",0.6
1.52,-0.800843,-0.598843,0.547194,-0.785522,"1","phoneme","V1",0.6
0.53,-0.714658,0.833867,2.160429,-0.136583,"1","phoneme","V1",0.6
0.69,-1.036957,-0.544603,-0.582433,-0.136583,"1","phoneme","V1",0.6
1.66,0.497738,-0.178427,1.099968,-0.787211,"1","phoneme","V1",0.6
1.15,-0.145133,0.27536,0.10922,-0.377277,"1","phoneme","V1",0.6
-0.62,-1.094906,-0.409765,0.326763,-0.136583,"1","phoneme","V1",0.6
-1.67,-1.061006,-0.336654,1.770124,-1.937404,"1","phoneme","V1",0.6
0.54,0.97364,-1.419966,-0.249962,0.289314,"1","phoneme","V1",0.6
0.23,1.785677,-1.267831,-0.167778,0.334167,"1","phoneme","V1",0.6
-1.03,0.117341,-1.633185,-0.840404,-0.472451,"1","phoneme","V1",0.6
2.1,-1.158386,-0.675753,-0.304336,-0.245071,"1","phoneme","V1",0.6
2.78,-0.793508,-0.584646,-0.09161,-0.289499,"1","phoneme","V1",0.6
-1.5,-0.125298,1.690517,1.101851,-0.136583,"1","phoneme","V1",0.6
1.67,-0.344355,-0.322038,0.070723,0.259831,"1","phoneme","V1",0.6
-0.26,0.102101,1.108453,0.352405,-0.136583,"1","phoneme","V1",0.6
-1.26,1.436923,0.506798,0.19347,-0.456138,"1","phoneme","V1",0.6
1.14,2.45085,-1.481416,0.442151,-0.605544,"1","phoneme","V1",0.6
0.99,-0.799744,-1.03542,-0.664412,-0.310503,"1","phoneme","V1",0.6
-0.24,-0.219722,1.652675,-1.429354,-0.929518,"1","phoneme","V1",0.6
-0.87,-0.842509,1.309667,0.631242,-0.921952,"1","phoneme","V1",0.6
0.01,0.167349,1.771009,-1.335506,-0.136583,"1","phoneme","V1",0.6
-1.51,-0.742066,-0.312636,-0.730238,-0.457353,"1","phoneme","V1",0.6
-0.13,-0.821653,0.661763,1.1765,-0.883854,"1","phoneme","V1",0.6
1.5,0.464239,0.860374,-0.94097,-0.423014,"1","phoneme","V1",0.6
-0.76,2.109439,0.033856,-0.111589,0.212913,"1","phoneme","V1",0.6
-0.21,0.25739,1.479069,-1.321794,0.89337,"1","phoneme","V1",0.6
1.59,-0.340736,-0.524723,-0.609645,-0.234601,"1","phoneme","V1",0.6
-0.57,-0.524029,1.079461,0.891903,-0.136583,"1","phoneme","V1",0.6
-0.82,0.733833,0.404543,0.554351,-0.890874,"1","phoneme","V1",0.6
-0.74,-0.255419,2.402909,-1.446624,-0.742389,"1","phoneme","V1",0.6
-1.14,1.671478,-1.490068,-0.849332,-0.4462,"1","phoneme","V1",0.6
-0.82,-0.511101,-1.118799,-0.729248,-0.364274,"1","phoneme","V1",0.6
1.18,-0.862119,-0.650468,-0.203889,-0.352607,"1","phoneme","V1",0.6
1.26,2.137698,0.115634,-0.063552,-0.136583,"1","phoneme","V1",0.6
1.14,1.3462,-1.371981,-0.176056,0.618579,"1","phoneme","V1",0.6
0.22,1.740557,0.067536,-0.845246,-0.394754,"1","phoneme","V1",0.6
-1.02,1.40387,0.284372,0.136361,-0.64868,"1","phoneme","V1",0.6
-0.51,1.079203,1.497709,-1.25101,-0.677501,"1","phoneme","V1",0.6
0.66,1.185377,-1.217546,-0.262195,-0.451045,"1","phoneme","V1",0.6
-0.58,0.327338,0.590121,0.22929,-0.136583,"1","phoneme","V1",0.6
-1.08,2.191878,-1.448669,-0.85817,-0.773068,"1","phoneme","V1",0.6
2.31,-0.790653,-0.549361,0.324577,-0.453856,"1","phoneme","V1",0.6
-1.2,-0.04313,0.91557,-1.11579,-0.589822,"1","phoneme","V1",0.6
3.19,-1.851945,-0.681282,-0.381956,-0.040643,"1","phoneme","V1",0.6
0.54,1.425267,-1.138792,-0.687408,-0.315454,"1","phoneme","V1",0.6
-0.35,-1.106022,-0.361653,0.388293,2.127981,"1","phoneme","V1",0.6
0.13,1.091188,0.381094,0.217242,1.340127,"1","phoneme","V1",0.6
-0.48,-0.321521,1.867656,-1.438258,-0.136583,"1","phoneme","V1",0.6
-0.58,0.059401,1.168922,0.429102,-0.730116,"1","phoneme","V1",0.6
1.26,0.63297,-0.106745,0.654942,1.090772,"1","phoneme","V1",0.6
1.04,-1.023942,-0.134886,0.778336,-0.721535,"1","phoneme","V1",0.6
-0.34,2.039832,0.194468,-0.904133,0.217673,"1","phoneme","V1",0.6
-0.72,1.530665,0.35945,0.506832,-0.136583,"1","phoneme","V1",0.6
2.39,0.414054,0.274647,-0.877412,-0.355002,"1","phoneme","V1",0.6
0.82,0.507044,0.34872,0.214308,0.532761,"1","phoneme","V1",0.6
2.97,-0.286275,-0.276799,0.185094,0.531505,"1","phoneme","V1",0.6
-0.29,1.069145,0.086724,-0.818018,-0.4108,"1","phoneme","V1",0.6
-0.22,1.523392,-1.333713,-0.174691,-0.136583,"1","phoneme","V1",0.6
1.62,-1.117568,-0.339941,0.733386,-0.528825,"1","phoneme","V1",0.6
2.2,-0.905945,-0.710213,-0.373075,-0.212502,"1","phoneme","V1",0.6
1.19,0.196384,-0.316678,-0.682174,-0.290276,"1","phoneme","V1",0.6
-0.51,1.505191,-1.309631,-0.779346,-0.136583,"1","phoneme","V1",0.6
-1.18,-2.556919,1.536415,-1.574879,-1.032355,"1","phoneme","V1",0.6
0.42,-0.154145,2.075083,-1.696389,-0.136583,"1","phoneme","V1",0.6
3.35,-1.035373,-0.958569,-0.585937,-0.221871,"1","phoneme","V1",0.6
1.76,-0.09449,-0.482225,-0.196966,-0.252797,"1","phoneme","V1",0.6
2.09,-0.688379,-0.666384,-0.256432,-0.376117,"1","phoneme","V1",0.6
0.09,1.88365,0.084441,0.174493,0.888459,"1","phoneme","V1",0.6
2.39,-1.088038,-0.655214,-0.59185,-0.039552,"1","phoneme","V1",0.6
0.19,1.110834,0.107288,0.105016,1.725372,"1","phoneme","V1",0.6
1.8,-1.130327,-0.619287,-0.222284,-0.282986,"1","phoneme","V1",0.6
1.99,0.236745,-1.099563,0.345861,-0.570193,"1","phoneme","V1",0.6
-0.7,1.436241,-1.350888,-0.108675,-0.37944,"1","phoneme","V1",0.6
