"Feature_0","Feature_1","Feature_2","Feature_3","Feature_4","Feature_5","Feature_6","Feature_7","Feature_8","Feature_9","class","dataset_name","altered_attribute","noise_level"
-3.673,1.811,-1.405,1.621,0.044,1.62,-0.453,0.745,-0.066,-0.733,"N","vowel","Feature_5",0.1
-2.946,1.649,-1.167,0.788,-0.909,1.28,-0.562,0.902,-0.07,-0.842,"N","vowel","Feature_5",0.1
-3.665,0.337,-0.641,1.791,-0.194,1.75,-0.359,0.57,-0.676,-0.841,"P","vowel","Feature_5",0.1
-3.165,0.408,-0.971,1.207,-0.298,1.86,-0.215,0.723,-0.492,-0.425,"N","vowel","Feature_5",0.1
-2.105,1.035,-1.705,0.231,-0.558,1.58,-0.649,0.71,-0.855,-0.151,"N","vowel","Feature_5",0.1
-2.312,1.746,-1.51,1.019,-0.99,0.91,-0.488,0.208,0.033,-0.847,"N","vowel","Feature_5",0.1
-2.635,2.147,-1.129,0.911,-1.407,1.07,-0.071,0.118,0.139,-0.685,"N","vowel","Feature_5",0.1
-2.887,2.131,-0.83,0.682,-1.557,0.85,0.448,-0.382,0.207,-0.402,"N","vowel","Feature_5",0.1
-3.635,2.25,-0.394,1.012,-1.693,0.2,0.665,0.281,0.343,-0.003,"N","vowel","Feature_5",0.1
-3.986,2.325,0.102,1.633,-2.014,0.61,-0.344,1.003,0.566,-0.245,"N","vowel","Feature_5",0.1
-3.712,1.816,-1.171,0.647,-0.767,1.69,-0.347,0.92,0.159,-0.359,"N","vowel","Feature_5",0.1
-3.74,1.832,-1.384,1.587,0.049,1.7,-0.516,0.707,-0.169,-0.522,"N","vowel","Feature_5",0.1
-2.859,1.627,-1.14,0.769,-0.948,1.39,-0.608,0.956,-0.204,-0.727,"N","vowel","Feature_5",0.1
-3.624,0.305,-0.708,1.758,-0.194,1.67,-0.273,0.561,-0.577,-0.843,"P","vowel","Feature_5",0.1
-3.062,0.351,-1.071,1.061,-0.355,2.01,-0.21,0.796,-0.358,-0.299,"N","vowel","Feature_5",0.1
-2.081,1.05,-1.778,0.411,-0.518,1.47,-0.576,0.735,-0.866,-0.172,"N","vowel","Feature_5",0.1
-2.289,1.845,-1.616,0.987,-0.876,1.05,-0.549,0.196,-0.07,-0.814,"N","vowel","Feature_5",0.1
-2.724,2.067,-1.142,0.923,-1.157,1.13,-0.276,0.172,-0.008,-0.649,"N","vowel","Feature_5",0.1
-3.015,2.232,-0.899,0.574,-1.331,0.52,0.61,-0.452,0.035,-0.156,"N","vowel","Feature_5",0.1
-3.559,2.126,-0.445,1.053,-1.765,0.31,0.546,0.321,0.443,-0.118,"N","vowel","Feature_5",0.1
-4.074,2.281,0.152,1.556,-1.613,-0.03,0.222,0.252,0.775,0.125,"N","vowel","Feature_5",0.1
-3.618,1.576,-1.14,0.699,-0.741,1.63,-0.387,1.086,0.235,-0.388,"N","vowel","Feature_5",0.1
-3.687,1.784,-1.593,1.603,0.123,1.5,-0.225,0.441,0.206,-0.714,"N","vowel","Feature_5",0.1
-2.69,1.652,-1.261,0.674,-0.964,1.46,-0.593,1.005,-0.303,-0.541,"N","vowel","Feature_5",0.1
-3.593,0.29,-0.782,1.707,-0.175,1.68,-0.137,0.493,-0.492,-0.926,"P","vowel","Feature_5",0.1
-3.046,0.387,-1.165,0.94,-0.386,1.95,-0.186,0.811,-0.394,-0.198,"N","vowel","Feature_5",0.1
-2.255,0.902,-1.723,0.454,-0.524,1.4,-0.614,0.761,-0.885,-0.118,"N","vowel","Feature_5",0.1
-2.299,1.848,-1.695,1.065,-0.861,1.12,-0.607,0.313,-0.253,-0.759,"N","vowel","Feature_5",0.1
-2.911,1.928,-1.131,0.899,-0.911,1.21,-0.208,-0.047,-0.029,-0.539,"N","vowel","Feature_5",0.1
-3.089,2.339,-0.973,0.463,-1.169,0.62,0.598,-0.45,-0.08,-0.039,"N","vowel","Feature_5",0.1
-3.459,2.086,-0.595,0.937,-1.841,0.62,0.457,0.4,0.473,-0.211,"N","vowel","Feature_5",0.1
-4.208,2.447,0.049,1.331,-2.088,0.55,-0.05,0.82,0.606,-0.302,"N","vowel","Feature_5",0.1
-3.543,1.391,-1.22,0.699,-0.769,1.52,-0.379,1.158,0.181,-0.178,"N","vowel","Feature_5",0.1
-3.684,1.774,-1.728,1.611,0.1,1.43,-0.193,0.554,0.245,-0.919,"N","vowel","Feature_5",0.1
-2.596,1.56,-1.249,0.656,-1.095,1.26,-0.55,1.006,-0.15,-0.553,"N","vowel","Feature_5",0.1
-3.604,0.235,-0.836,1.786,-0.153,1.65,-0.096,0.488,-0.524,-1.003,"P","vowel","Feature_5",0.1
-3.171,0.49,-1.128,0.911,-0.388,2,-0.212,0.707,-0.551,-0.187,"N","vowel","Feature_5",0.1
-2.302,0.85,-1.646,0.455,-0.488,1.42,-0.617,0.819,-0.887,-0.08,"N","vowel","Feature_5",0.1
-2.368,1.727,-1.556,1.162,-0.819,0.9,-0.572,0.345,-0.279,-0.736,"N","vowel","Feature_5",0.1
-3.141,1.873,-1.131,0.941,-0.759,1.16,-0.354,0.016,-0.218,-0.568,"N","vowel","Feature_5",0.1
-3.065,2.372,-1.002,0.496,-1.295,0.8,0.327,-0.404,0.067,-0.155,"N","vowel","Feature_5",0.1
-3.473,2.178,-0.82,0.706,-1.71,0.66,0.422,0.351,0.426,-0.267,"N","vowel","Feature_5",0.1
-4.238,2.437,0.036,1.158,-2.127,0.55,0.12,0.823,0.565,-0.293,"N","vowel","Feature_5",0.1
-3.546,1.258,-1.227,0.823,-0.702,1.72,-0.397,1.333,-0.277,0.013,"N","vowel","Feature_5",0.1
-3.869,1.86,-1.646,1.612,0.044,1.57,-0.493,0.862,-0.106,-1.001,"N","vowel","Feature_5",0.1
-2.666,1.516,-1.198,0.741,-1.066,1.29,-0.574,0.965,-0.13,-0.711,"N","vowel","Feature_5",0.1
-4.102,0.209,0.414,0.423,0.985,1.48,0.663,0.036,-0.784,-0.668,"P","vowel","Feature_5",0.1
-1.372,-0.03,-1.003,-0.388,-0.471,1.04,0.654,0.823,0.558,0.043,"N","vowel","Feature_5",0.1
-1.816,0.458,-0.947,-0.341,0.085,0.74,0.144,0.462,-0.24,-0.266,"N","vowel","Feature_5",0.1
-1.954,1.595,-1.593,0.37,-0.136,0.11,0.034,0.321,-0.19,-0.491,"N","vowel","Feature_5",0.1
-2.654,2.39,-0.008,0.07,-1.063,0.25,-0.105,0.281,0.488,-0.382,"N","vowel","Feature_5",0.1
-2.321,1.303,0.32,-0.085,-0.278,-0.07,-0.094,-0.283,0.852,0.022,"N","vowel","Feature_5",0.1
-3.141,3.314,-0.996,-0.394,-0.19,-0.25,0.137,0.631,0.547,-0.247,"N","vowel","Feature_5",0.1
-3.941,3.353,0.486,-0.506,-1.12,0.07,0.297,0.711,-0.078,0.648,"N","vowel","Feature_5",0.1
-4.161,2.937,0.157,0.336,-0.968,0.68,0.088,0.237,0.565,0.823,"N","vowel","Feature_5",0.1
-4.52,2.231,-0.088,0.513,-0.528,1.17,0.198,0.242,0.161,0.769,"N","vowel","Feature_5",0.1
-3.088,1.389,0.048,-0.216,-0.329,0.89,0.045,-0.075,0.101,-0.134,"N","vowel","Feature_5",0.1
-4.275,0.162,0.728,0.662,0.94,1.36,0.711,0.073,-0.827,-0.655,"P","vowel","Feature_5",0.1
-1.657,0.056,-1.044,-0.32,-0.316,1.38,0.638,0.8,0.298,-0.159,"N","vowel","Feature_5",0.1
-1.709,0.486,-0.953,-0.346,0.02,0.85,0.145,0.564,-0.229,-0.322,"N","vowel","Feature_5",0.1
-1.952,1.469,-1.375,0.105,-0.154,0.11,-0.047,0.336,-0.098,-0.41,"N","vowel","Feature_5",0.1
-2.67,2.696,-0.231,-0.028,-1.014,0.48,-0.137,0.448,0.285,-0.482,"N","vowel","Feature_5",0.1
-2.441,1.415,0.386,-0.335,-0.187,-0.03,0,-0.175,0.792,-0.026,"N","vowel","Feature_5",0.1
-3.146,3.076,-0.683,-0.032,-0.693,-0.08,-0.267,0.476,0.982,-0.352,"N","vowel","Feature_5",0.1
-3.902,3.586,0.334,-0.669,-1.087,0.17,0.461,0.812,-0.185,0.535,"N","vowel","Feature_5",0.1
-4.267,3.01,0.172,0.028,-0.827,0.55,0.099,0.326,0.34,0.696,"N","vowel","Feature_5",0.1
-4.65,2.455,0.013,0.681,-0.8,1.43,0.126,0.036,0.382,0.278,"N","vowel","Feature_5",0.1
-3.03,1.185,0.314,-0.121,-0.591,0.9,0.353,-0.137,-0.221,0.075,"N","vowel","Feature_5",0.1
-4.473,0.373,0.858,0.919,0.778,1.21,0.653,-0.216,-0.891,-0.627,"P","vowel","Feature_5",0.1
-1.856,0.063,-1.011,-0.238,-0.152,1.4,0.572,0.775,0.154,-0.31,"N","vowel","Feature_5",0.1
-1.976,0.389,-0.947,-0.25,-0.065,1.01,0.127,0.478,-0.323,-0.345,"N","vowel","Feature_5",0.1
-1.914,1.473,-1.342,-0.013,-0.213,0.25,0.005,0.229,-0.009,-0.445,"N","vowel","Feature_5",0.1
-2.7,2.83,-0.389,0.032,-0.958,0.41,-0.168,0.519,0.169,-0.525,"N","vowel","Feature_5",0.1
-2.554,1.117,0.42,-0.022,-0.645,0.02,0.145,-0.327,0.66,0.073,"N","vowel","Feature_5",0.1
-3.054,3.104,-0.513,-0.085,-0.952,0.31,-0.269,0.459,0.892,-0.308,"N","vowel","Feature_5",0.1
-3.84,3.745,0.121,-0.656,-1.066,0.39,0.734,0.875,-0.295,0.418,"N","vowel","Feature_5",0.1
-4.323,2.853,0.385,0.209,-1.096,0.46,0.119,0.268,0.131,0.654,"N","vowel","Feature_5",0.1
-4.676,2.537,0.075,0.73,-0.933,1.52,0.049,0.076,0.254,0.276,"N","vowel","Feature_5",0.1
-2.922,1.516,-0.002,-0.353,-0.464,1.24,0.383,-0.175,-0.346,-0.033,"N","vowel","Feature_5",0.1
-4.477,0.246,1.087,1.108,0.682,1.07,0.424,-0.264,-1.195,-0.52,"P","vowel","Feature_5",0.1
-1.895,-0.012,-0.97,-0.152,-0.161,1.46,0.487,0.809,0.044,-0.264,"N","vowel","Feature_5",0.1
-1.945,0.352,-1.053,-0.228,-0.12,0.86,0.088,0.509,-0.279,-0.246,"N","vowel","Feature_5",0.1
-1.912,1.554,-1.455,-0.017,-0.118,0.21,-0.037,0.163,-0.027,-0.474,"N","vowel","Feature_5",0.1
-2.724,2.998,-0.56,-0.077,-0.944,0.48,-0.08,0.4,0.144,-0.63,"N","vowel","Feature_5",0.1
-2.385,1.241,0.272,-0.04,-0.692,0.13,-0.061,-0.189,0.744,0.088,"N","vowel","Feature_5",0.1
-3.092,3.014,-0.307,-0.016,-0.956,0.16,-0.227,0.367,0.958,-0.092,"N","vowel","Feature_5",0.1
-3.917,3.496,0.409,-0.531,-1.15,0,0.605,0.977,-0.328,0.447,"N","vowel","Feature_5",0.1
-4.232,3.035,0.428,0.497,-1.374,0.58,0.133,0.232,0.129,0.487,"N","vowel","Feature_5",0.1
-4.759,2.696,0.104,0.697,-0.787,1.1,0.205,-0.066,0.369,0.306,"N","vowel","Feature_5",0.1
-2.945,1.724,-0.312,-0.239,-0.447,1.44,0.014,-0.102,0.021,-0.564,"N","vowel","Feature_5",0.1
-4.314,-0.106,1.044,1.192,0.687,0.78,0.158,-0.193,-1.342,-0.447,"P","vowel","Feature_5",0.1
-2.05,0.065,-0.938,-0.037,0.082,1.61,0.393,0.835,-0.029,-0.394,"N","vowel","Feature_5",0.1
-1.804,0.431,-1,-0.427,-0.094,0.82,0.084,0.636,-0.275,-0.214,"N","vowel","Feature_5",0.1
-1.978,1.542,-1.487,-0.096,-0.025,0.25,-0.063,0.097,-0.073,-0.381,"N","vowel","Feature_5",0.1
-2.748,3.217,-0.976,-0.213,-0.792,0.75,-0.032,0.223,0.043,-0.825,"N","vowel","Feature_5",0.1
-2.351,1.53,0.086,-0.075,-0.426,0.12,-0.197,0.033,0.848,-0.038,"N","vowel","Feature_5",0.1
-3.105,2.916,-0.207,0.031,-0.897,0.01,-0.229,0.256,1.073,-0.065,"N","vowel","Feature_5",0.1
-3.985,3.614,0.584,-0.42,-1.105,-0.18,0.348,0.885,-0.165,0.65,"N","vowel","Feature_5",0.1
-4.16,3.329,0.275,0.394,-1.287,0.64,0.483,0.121,0.286,0.153,"N","vowel","Feature_5",0.1
-4.88,3.064,0.06,0.434,-0.575,1.01,0.25,0.085,0.093,0.445,"N","vowel","Feature_5",0.1
-3.082,1.633,-0.118,-0.147,-0.484,1.15,-0.086,-0.072,0.086,-0.564,"N","vowel","Feature_5",0.1
-4.158,-0.342,0.9,1.09,0.56,0.88,0.395,-0.328,-1.52,-0.498,"P","vowel","Feature_5",0.1
-2.441,0.191,-0.814,0.255,0.411,1.58,0.395,0.761,-0.005,-0.564,"N","vowel","Feature_5",0.1
-1.672,0.328,-0.833,-0.577,-0.363,0.87,0.18,0.682,-0.124,-0.109,"N","vowel","Feature_5",0.1
-2.051,1.508,-1.641,-0.058,-0.102,0.25,-0.021,0.109,-0.147,-0.298,"N","vowel","Feature_5",0.1
-2.788,3.194,-1.142,-0.313,-0.58,0.34,0.281,0.082,0.109,-0.858,"N","vowel","Feature_5",0.1
-2.489,1.773,-0.18,-0.152,-0.353,0.11,-0.186,0.207,0.788,-0.285,"N","vowel","Feature_5",0.1
-3.065,3.139,-0.461,-0.221,-0.759,-0.06,0.068,0.274,0.999,-0.331,"N","vowel","Feature_5",0.1
-3.963,3.938,0.466,-0.564,-1.042,-0.02,0.241,0.888,-0.032,0.798,"N","vowel","Feature_5",0.1
-4.136,3.582,-0.407,-0.038,-0.687,0.99,0.491,0.157,0.305,0.028,"N","vowel","Feature_5",0.1
-4.944,3.325,0.015,0.079,-0.593,1.06,0.337,0.296,-0.453,0.371,"N","vowel","Feature_5",0.1
-3.058,1.678,-0.351,-0.255,0.038,0.7,-0.173,0.226,0.202,-0.593,"N","vowel","Feature_5",0.1
-1.202,-0.253,-2.487,0.809,-0.367,2.22,0.32,1.034,-1.385,-0.706,"P","vowel","Feature_5",0.1
-1.077,0.511,-2.006,0.305,-0.584,1.87,0.089,1.406,-0.669,-0.027,"N","vowel","Feature_5",0.1
-1.768,0.786,-1.468,1.077,-0.347,1.8,-0.171,1.076,-0.691,-0.06,"N","vowel","Feature_5",0.1
-1.737,1.789,-1.046,1.071,-0.775,1.07,-0.025,0.925,-0.452,0.007,"N","vowel","Feature_5",0.1
-2.432,2.126,-0.218,1.422,-1.169,0.43,-0.393,1.326,-0.067,0.225,"N","vowel","Feature_5",0.1
-2.125,1.952,-0.415,1.458,-0.985,0.5,-0.344,1.249,-0.37,0.145,"N","vowel","Feature_5",0.1
-2.607,2.406,-0.088,1.586,-1.477,0.22,-0.527,1.551,0.033,0.522,"N","vowel","Feature_5",0.1
-3.813,3.705,-0.157,1.561,-1.503,-0.31,-0.581,1.412,0.29,-0.099,"N","vowel","Feature_5",0.1
-3.05,1.6,-0.686,1.543,-1.149,0,0.297,0.727,0.598,0.458,"N","vowel","Feature_5",0.1
-3.972,2.279,-0.62,0.954,-1.09,0.74,0.717,0.3,1.309,0.171,"N","vowel","Feature_5",0.1
-2.979,1.795,-0.87,1.427,-0.93,1.34,-0.212,1.286,-0.135,-0.496,"N","vowel","Feature_5",0.1
-1.298,-0.295,-2.433,0.955,-0.278,2.3,0.285,0.915,-1.569,-0.562,"P","vowel","Feature_5",0.1
-1.012,0.516,-2.041,0.32,-0.634,1.96,0.041,1.414,-0.687,0.047,"N","vowel","Feature_5",0.1
-1.501,0.847,-1.619,0.92,-0.488,1.64,-0.161,1.127,-0.613,-0.051,"N","vowel","Feature_5",0.1
-1.674,1.711,-1.04,1.136,-0.869,1.01,-0.157,0.946,-0.361,0.02,"N","vowel","Feature_5",0.1
-2.308,2.023,-0.203,1.493,-1.223,0.36,-0.481,1.403,-0.045,0.402,"N","vowel","Feature_5",0.1
-2.155,2.027,-0.393,1.354,-1.045,0.65,-0.246,1.279,-0.396,0.177,"N","vowel","Feature_5",0.1
-2.652,2.156,-0.053,1.694,-1.258,0.05,-0.61,1.397,0.133,0.602,"N","vowel","Feature_5",0.1
-3.834,3.749,-0.183,1.518,-1.585,-0.25,-0.334,1.191,0.425,-0.104,"N","vowel","Feature_5",0.1
-3.33,1.529,-0.552,2.023,-0.845,0.04,0.049,0.512,0.396,0.386,"N","vowel","Feature_5",0.1
-4.17,2.232,-0.389,1.211,-1.011,0.55,0.543,0.218,1.206,0.044,"N","vowel","Feature_5",0.1
-2.867,1.391,-0.817,1.595,-0.883,1.12,-0.427,1.159,0.17,-0.456,"N","vowel","Feature_5",0.1
-1.393,-0.305,-2.29,1.1,-0.254,2.29,0.363,0.795,-1.521,-0.756,"P","vowel","Feature_5",0.1
-0.941,0.539,-2.02,0.314,-0.679,1.9,0.028,1.504,-0.632,0.111,"N","vowel","Feature_5",0.1
-1.332,0.848,-1.665,0.97,-0.463,1.47,-0.159,1.101,-0.541,-0.05,"N","vowel","Feature_5",0.1
-1.57,1.655,-1.04,1.16,-0.923,0.95,-0.231,0.955,-0.273,0.065,"N","vowel","Feature_5",0.1
-2.227,1.993,-0.156,1.554,-1.19,0.35,-0.548,1.362,-0.013,0.369,"N","vowel","Feature_5",0.1
-2.043,1.95,-0.435,1.341,-1.049,0.58,-0.237,1.237,-0.283,0.306,"N","vowel","Feature_5",0.1
-2.679,1.731,-0.09,2.003,-1.009,0,-0.822,1.232,0.128,0.72,"N","vowel","Feature_5",0.1
-3.836,3.699,-0.225,1.52,-1.729,-0.15,0.064,0.97,0.5,-0.13,"N","vowel","Feature_5",0.1
-3.478,1.703,-0.557,2.191,-1.043,0.32,-0.004,0.587,0.45,0.006,"N","vowel","Feature_5",0.1
-4.333,2.438,-0.219,1.372,-0.761,0.26,0.594,-0.022,1.103,0.19,"N","vowel","Feature_5",0.1
-2.704,1.285,-0.908,1.57,-0.84,1.09,-0.399,0.951,0.345,-0.695,"N","vowel","Feature_5",0.1
-1.417,-0.319,-2.254,1.072,-0.221,2.21,0.43,0.923,-1.486,-0.698,"P","vowel","Feature_5",0.1
-0.961,0.514,-1.951,0.364,-0.68,1.84,0.047,1.539,-0.63,0.094,"N","vowel","Feature_5",0.1
-1.22,0.831,-1.674,0.94,-0.425,1.45,-0.063,1.135,-0.422,0.06,"N","vowel","Feature_5",0.1
-1.501,1.611,-1.003,1.156,-0.883,0.93,-0.169,0.862,-0.151,0.164,"N","vowel","Feature_5",0.1
-2.176,1.952,-0.144,1.659,-1.128,0.26,-0.658,1.346,0.008,0.505,"N","vowel","Feature_5",0.1
-1.891,1.776,-0.518,1.461,-1.05,0.63,-0.307,1.152,-0.239,0.325,"N","vowel","Feature_5",0.1
-2.624,1.653,-0.156,2.023,-1.052,0.09,-0.752,1.341,0.196,0.71,"N","vowel","Feature_5",0.1
-3.763,3.252,-0.262,1.52,-1.684,-0.15,0.235,0.989,0.616,0.046,"N","vowel","Feature_5",0.1
-3.549,1.905,-0.509,1.963,-1.2,0.85,-0.157,0.842,0.625,-0.586,"N","vowel","Feature_5",0.1
-4.373,2.463,-0.171,1.501,-0.639,0.36,0.518,-0.114,1.127,0.332,"N","vowel","Feature_5",0.1
-2.562,1.361,-0.94,1.333,-1.047,1.19,-0.316,1.055,0.354,-0.77,"N","vowel","Feature_5",0.1
-1.384,-0.321,-2.266,0.937,-0.289,2.41,0.463,1.096,-1.436,-0.701,"P","vowel","Feature_5",0.1
-1.123,0.415,-1.954,0.563,-0.465,1.98,0.027,1.614,-0.568,0.007,"N","vowel","Feature_5",0.1
-1.28,0.798,-1.647,0.968,-0.418,1.66,-0.031,1.224,-0.374,0.044,"N","vowel","Feature_5",0.1
-1.475,1.557,-1.009,1.202,-0.846,0.94,-0.138,0.822,-0.165,0.198,"N","vowel","Feature_5",0.1
-2.205,1.804,-0.199,1.773,-1.089,0.37,-0.621,1.247,0.137,0.406,"N","vowel","Feature_5",0.1
-1.824,1.682,-0.669,1.483,-1.036,0.71,-0.249,1.193,-0.274,0.224,"N","vowel","Feature_5",0.1
-2.574,1.814,-0.167,1.826,-1.156,0.13,-0.609,1.543,0.11,0.75,"N","vowel","Feature_5",0.1
-3.693,3.067,-0.273,1.619,-1.905,-0.01,0.006,1.347,0.346,0.36,"N","vowel","Feature_5",0.1
-3.545,1.926,-0.512,1.732,-1.109,0.91,0.021,0.82,0.731,-0.639,"N","vowel","Feature_5",0.1
-4.386,2.271,-0.157,1.536,-0.614,0.29,0.57,-0.117,1.074,0.397,"N","vowel","Feature_5",0.1
-2.53,1.492,-0.936,1.21,-1.154,1.39,-0.267,1.149,0.226,-0.77,"N","vowel","Feature_5",0.1
-1.215,-0.288,-2.423,0.834,-0.379,2.22,0.503,1.337,-1.36,-0.682,"P","vowel","Feature_5",0.1
-1.4,0.316,-1.894,0.83,-0.242,2.03,0.003,1.667,-0.515,-0.087,"N","vowel","Feature_5",0.1
-1.494,0.663,-1.58,1.191,-0.252,1.69,-0.072,1.189,-0.409,0.09,"N","vowel","Feature_5",0.1
-1.512,1.492,-1.053,1.262,-0.809,1,-0.122,0.807,-0.206,0.145,"N","vowel","Feature_5",0.1
-2.274,1.653,-0.226,1.857,-0.971,0.34,-0.605,1.121,0.121,0.291,"N","vowel","Feature_5",0.1
-1.804,1.556,-0.803,1.388,-0.989,0.75,-0.029,0.963,-0.228,0.297,"N","vowel","Feature_5",0.1
-2.447,1.914,-0.208,1.641,-1.159,0.04,-0.539,1.58,0.058,0.786,"N","vowel","Feature_5",0.1
-3.675,3.132,-0.241,1.587,-1.75,-0.15,0.039,1.052,0.545,0.233,"N","vowel","Feature_5",0.1
-3.425,1.724,-0.638,1.573,-1.041,1.19,-0.124,1.258,0.548,-0.507,"N","vowel","Feature_5",0.1
-4.376,2.216,-0.269,1.32,-0.66,0.18,0.719,0.008,1.058,0.472,"N","vowel","Feature_5",0.1
-2.52,1.52,-0.959,1.296,-1.103,1.14,-0.268,1.249,0.092,-0.682,"N","vowel","Feature_5",0.1
-1.548,-0.4,-1.659,0.244,-0.101,1.63,0.551,1.248,0.129,-0.456,"P","vowel","Feature_5",0.1
-1.614,0.287,-1.195,-0.252,-0.257,1.24,0.281,0.898,0.188,-0.423,"N","vowel","Feature_5",0.1
-1.891,0.988,-1.06,0.119,0.59,0.23,0.372,0.39,-0.376,-0.655,"N","vowel","Feature_5",0.1
-2.03,1.764,-0.386,-0.249,0.18,0.2,0.096,-0.121,0.067,-0.552,"N","vowel","Feature_5",0.1
-2.55,2.629,0.084,-0.159,-0.882,0.1,-0.19,0.961,0.032,-0.589,"N","vowel","Feature_5",0.1
-2.464,1.968,0.026,0.078,-0.542,0.06,0.051,0.596,0.26,-0.437,"N","vowel","Feature_5",0.1
-3.193,2.026,0.83,0.813,-1.205,-0.03,-0.95,0.786,1.045,0.21,"N","vowel","Feature_5",0.1
-3.566,1.504,0.94,1.829,-1.224,0.21,-1.454,0.92,0.767,1.059,"N","vowel","Feature_5",0.1
-3.299,1.73,0.187,0.121,-1.251,0.77,-0.366,1.091,0.493,0.436,"N","vowel","Feature_5",0.1
-3.601,0.742,-0.238,0.332,-0.561,1.29,-0.014,0.844,0.558,0.659,"N","vowel","Feature_5",0.1
-2.439,0.789,0.082,0.242,-0.693,0.58,-0.353,0.702,0.413,0.098,"N","vowel","Feature_5",0.1
-1.507,-0.457,-1.728,0.256,-0.081,1.59,0.556,1.291,0.121,-0.456,"P","vowel","Feature_5",0.1
-1.425,0.256,-1.13,-0.284,-0.394,1.34,0.306,0.893,0.272,-0.378,"N","vowel","Feature_5",0.1
-1.814,0.923,-0.931,0.12,0.425,0.58,0.237,0.426,-0.184,-0.727,"N","vowel","Feature_5",0.1
-2.007,1.814,-0.581,-0.027,0.127,0.05,0.089,-0.016,0.115,-0.719,"N","vowel","Feature_5",0.1
-2.559,2.3,0.408,-0.001,-1.077,0.23,-0.254,0.975,0.07,-0.47,"N","vowel","Feature_5",0.1
-2.431,1.873,0.208,0.123,-0.634,0.17,0.04,0.612,0.446,-0.562,"N","vowel","Feature_5",0.1
-3.24,1.749,0.959,1.071,-1.188,-0.03,-1.024,0.664,1.007,0.443,"N","vowel","Feature_5",0.1
-3.565,1.363,0.958,1.976,-1.268,0.22,-1.363,0.72,0.738,1.145,"N","vowel","Feature_5",0.1
-3.198,1.373,0.392,0.423,-1.203,0.68,-0.428,0.994,0.576,0.865,"N","vowel","Feature_5",0.1
-3.772,0.904,-0.195,0.317,-0.473,1.17,-0.043,0.898,0.536,0.503,"N","vowel","Feature_5",0.1
-2.434,0.87,0.127,0.224,-0.811,0.74,-0.233,0.705,0.408,0.136,"N","vowel","Feature_5",0.1
-1.656,-0.496,-1.719,0.363,-0.002,1.66,0.535,1.319,-0.012,-0.49,"P","vowel","Feature_5",0.1
-1.388,0.215,-1.105,-0.295,-0.39,1.32,0.356,0.816,0.292,-0.376,"N","vowel","Feature_5",0.1
-1.764,0.888,-1.001,0.197,0.3,0.73,0.159,0.557,-0.301,-0.65,"N","vowel","Feature_5",0.1
-2.026,1.75,-0.526,-0.131,0.266,0,0.084,0.063,0.047,-0.691,"N","vowel","Feature_5",0.1
