"LOC_BLANK","BRANCH_COUNT","CALL_PAIRS","LOC_CODE_AND_COMMENT","LOC_COMMENTS","CONDITION_COUNT","CYCLOMATIC_COMPLEXITY","CYCLOMATIC_DENSITY","DECISION_COUNT","DECISION_DENSITY","DESIGN_COMPLEXITY","DESIGN_DENSITY","EDGE_COUNT","ESSENTIAL_COMPLEXITY","ESSENTIAL_DENSITY","LOC_EXECUTABLE","PARAMETER_COUNT","HALSTEAD_CONTENT","HALSTEAD_DIFFICULTY","HALSTEAD_EFFORT","HALSTEAD_ERROR_EST","HALSTEAD_LENGTH","HALSTEAD_LEVEL","HALSTEAD_PROG_TIME","HALSTEAD_VOLUME","MAINTENANCE_SEVERITY","MODIFIED_CONDITION_COUNT","MULTIPLE_CONDITION_COUNT","NODE_COUNT","NORMALIZED_CYLOMATIC_COMPLEXITY","NUM_OPERANDS","NUM_OPERATORS","NUM_UNIQUE_OPERANDS","NUM_UNIQUE_OPERATORS","NUMBER_OF_LINES","PERCENT_COMMENTS","LOC_TOTAL","class","dataset_name","altered_attribute","noise_level"
6,5,1,1,4,8,3,0.25,4,2,1,0.33,11,1,0,11,1,12.3,29,10341.88,0.12,75,0.03,574.55,281.56,0.33,2,4,10,0.13,29,46,9,18,24,31.25,12,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,69,8,0,0,0,35,1,0,0,11,0.31,141,19,0,0,3,0,0,0,0,0,0,0,-432.78,0.54,0,0,108,0.44,0,0,0,0,80,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,3,1,1,19,4,2,0.09,2,2,1,0.5,6,1,0,21,2,27.56,24.75,16880.93,0.23,139,0.04,937.83,898.31,0.5,1,2,6,0.04,33,106,12,18,45,48.78,22,"FALSE","pc4","HALSTEAD_VOLUME",0.6
10,17,1,1,3,30,9,0.31,14,2,5,0.56,31,7,0,28,0,13.96,25.07,8776.91,0.12,81,0.04,487.61,1293.26,0.78,8,15,24,0.2,27,54,7,13,44,12.5,29,"FALSE","pc4","HALSTEAD_VOLUME",0.6
4,5,1,0,8,8,3,0.16,4,2,1,0.33,11,1,0,19,0,35.24,18,11416.47,0.21,120,0.06,634.25,616.84,0.33,2,4,10,0.09,42,78,21,18,33,29.63,19,"FALSE","pc4","HALSTEAD_VOLUME",0.6
3,3,0,1,2,0,2,0.18,0,0,1,0.5,6,1,0,10,0,8.34,18.67,2905.92,0.05,45,0.05,161.44,-608.68,0.5,0,0,6,0.11,14,31,3,8,18,23.08,11,"FALSE","pc4","HALSTEAD_VOLUME",0.6
4,19,2,0,0,0,10,0.91,0,0,9,0.9,33,1,0,11,0,18.36,24.23,10774.87,0.15,97,0.04,598.6,523.45,0.1,0,0,25,0.59,41,56,11,13,17,0,11,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,3,2,0,0,4,2,0.18,2,2,2,1,8,1,0,11,0,16.4,7.07,820.29,0.04,29,0.14,45.57,-411.57,0.5,1,2,8,0.13,11,18,7,9,16,0,11,"FALSE","pc4","HALSTEAD_VOLUME",0.6
7,5,5,0,0,4,3,0.25,2,2,3,1,15,1,0,12,0,30.46,3.75,428.33,0.04,30,0.27,23.8,-840.86,0.33,1,2,14,0.11,10,20,8,6,28,0,12,"FALSE","pc4","HALSTEAD_VOLUME",0.6
5,1,1,0,3,0,1,0.06,0,0,1,1,3,1,0,18,1,28.84,13.33,5127.24,0.13,101,0.08,284.85,1263.51,1,0,0,4,0.04,20,81,6,8,28,14.29,18,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,0,0,0,4,2,0.29,2,2,1,0.5,7,1,0,7,3,12.05,11.9,1706.44,0.05,40,0.08,94.8,1522.77,0.5,1,2,7,0.22,17,23,5,7,9,0,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,1,1,1,5,0,1,0.08,0,0,1,1,2,1,0,11,2,22.1,14.57,4692.33,0.11,65,0.07,260.69,-658.92,1,0,0,3,0.05,24,41,14,17,21,35.29,12,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,3,1,0,0,4,2,0.5,2,2,2,1,5,1,0,4,0,14.8,8.56,1083.64,0.04,28,0.12,60.2,211.42,0.5,1,2,5,0.25,11,17,9,14,8,0,4,"FALSE","pc4","HALSTEAD_VOLUME",0.6
4,5,3,0,0,6,3,0.21,2,3,2,0.67,12,1,0,14,0,29.04,10.58,3249.15,0.1,67,0.09,180.51,-783.68,0.33,2,3,11,0.15,25,42,13,11,20,0,14,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,5.8,2,23.22,0,5,0.5,1.29,587.8,1,0,0,2,1,1,4,1,4,1,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,7,3,0,0,0,4,0.5,0,0,3,0.75,16,1,0,8,0,20,10.21,2087.05,0.07,49,0.1,115.95,-145.7,0.25,0,0,14,0.27,13,36,7,11,15,0,8,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,168.91,1,0,0,3,0.08,0,0,0,0,12,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,7,2,0,0,0,4,0.33,0,0,3,0.75,15,1,0,12,0,14.9,11.69,2035.55,0.06,41,0.09,113.09,853.77,0.25,0,0,13,0.25,17,24,8,11,16,0,12,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,19,0,17,0,0,10,0.21,0,0,1,0.1,40,8,0,31,3,29.53,47.36,66226,0.47,243,0.02,3679.22,1486.76,0.8,0,0,32,0.2,102,141,28,26,50,35.42,48,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,1,1,0,0,0,1,0.1,0,0,1,1,2,1,0,10,0,17.14,5.83,583.33,0.03,25,0.17,32.4,-921.05,1,0,0,3,0.08,7,18,6,10,13,0,10,"FALSE","pc4","HALSTEAD_VOLUME",0.6
7,7,4,0,3,4,5,0.14,2,2,5,1,16,1,0,36,1,30.33,17.78,9587.04,0.18,106,0.06,532.61,386.54,0.2,1,2,13,0.1,40,66,18,16,48,7.69,36,"FALSE","pc4","HALSTEAD_VOLUME",0.6
11,7,6,1,11,4,5,0.17,2,2,5,1,19,1,0,29,0,46.18,10.67,5260.7,0.16,92,0.09,292.26,1310.47,0.2,1,2,16,0.09,37,55,26,15,54,29.27,30,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,1,0,0,0,2,0.29,0,0,1,0.5,6,1,0,7,0,16.92,4.5,342.66,0.03,20,0.22,19.04,209.32,0.5,0,0,6,0.22,5,15,5,9,9,0,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
9,7,3,3,6,12,4,0.33,6,2,4,1,14,1,0,9,0,14.8,10,1480,0.05,37,0.1,82.22,-25.61,0.25,3,6,12,0.14,12,25,6,10,29,50,12,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,11,4,0,0,0,6,0.5,0,0,5,0.83,26,1,0,12,0,22.66,14.44,4722.37,0.11,77,0.07,262.35,-907.17,0.17,0,0,22,0.32,21,56,8,11,19,0,12,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,0,0,0,0,2,1,0,0,1,0.5,6,1,0,0,0,9.51,4,152.16,0.01,12,0.25,8.45,-881.76,0.5,0,0,6,2,4,8,3,6,1,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,5,1,0,0,0,3,1,0,0,2,0.67,10,3,1,0,2,0,0,0,0,0,0,0,677.67,1,0,0,9,0.33,0,0,0,0,9,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,11,1,1,1,0,6,0.3,0,0,2,0.33,17,6,1,19,2,10.03,35.21,12432.13,0.12,77,0.03,690.67,1298.69,1,0,0,13,0.26,29,48,7,17,23,9.52,20,"FALSE","pc4","HALSTEAD_VOLUME",0.6
4,5,1,0,0,10,3,0.33,4,2,1,0.33,8,1,0,9,2,10.53,27,7675.23,0.09,62,0.04,426.4,-255.51,0.33,3,5,7,0.2,18,44,6,18,15,0,9,"FALSE","pc4","HALSTEAD_VOLUME",0.6
14,5,0,4,3,8,3,0.06,4,2,1,0.33,9,1,0,43,0,95.83,13.45,17344.68,0.43,222,0.07,963.59,-156.38,0.33,2,4,8,0.05,89,133,43,13,66,14,47,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,1,0,0,0,0,1,0.17,0,0,1,1,1,1,0,6,1,11.29,9,914.21,0.03,26,0.11,50.79,1297.98,1,0,0,2,0.1,9,17,5,10,10,0,6,"FALSE","pc4","HALSTEAD_VOLUME",0.6
7,17,6,7,0,0,9,0.39,0,0,7,0.78,38,7,0,16,0,27.48,21.35,12519.46,0.2,122,0.05,695.53,1554.48,0.78,0,0,31,0.25,37,85,13,15,36,30.43,23,"FALSE","pc4","HALSTEAD_VOLUME",0.6
16,11,11,2,0,12,6,0.25,6,2,3,0.5,32,5,0,22,0,51.72,11.85,7268.38,0.2,111,0.08,403.8,1045.73,0.83,3,6,28,0.14,49,62,31,15,42,8.33,24,"FALSE","pc4","HALSTEAD_VOLUME",0.6
3,1,1,0,1,0,1,0.5,0,0,1,1,2,1,0,2,0,5.33,1.5,12,0,4,0.67,0.67,-1560.72,1,0,0,3,0.13,1,3,1,3,8,33.33,2,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,107,7,0,0,0,54,0.72,0,0,24,0.44,219,25,0,75,3,46.04,88.2,358147.97,1.35,656,0.01,19897.11,3843.84,0.46,0,0,167,0.7,239,417,42,31,77,0,75,"FALSE","pc4","HALSTEAD_VOLUME",0.6
27,3,1,1,23,4,2,0.06,2,2,2,1,32,1,0,33,0,73.68,23.6,41036.32,0.58,339,0.04,2279.8,2232.25,0.5,1,2,32,0.02,118,221,25,10,86,42.11,34,"TRUE","pc4","HALSTEAD_VOLUME",0.6
3,5,2,0,0,6,3,0.33,2,3,3,1,9,3,1,9,1,16.47,9.33,1434.82,0.05,35,0.11,79.71,144.91,1,2,3,8,0.21,14,21,9,12,14,0,9,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,5,2,0,0,0,3,0.43,0,0,2,0.67,11,1,0,7,0,19.33,8.57,1420.02,0.06,39,0.12,78.89,600.69,0.33,0,0,10,0.21,10,29,7,12,14,0,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
8,3,7,0,8,4,2,0.15,2,2,2,1,11,1,0,13,0,35.04,3.85,519.3,0.04,33,0.26,28.85,98.36,0.5,1,2,11,0.06,11,22,10,7,31,38.1,13,"TRUE","pc4","HALSTEAD_VOLUME",0.6
10,1,1,1,0,0,1,0.33,0,0,1,1,4,1,0,2,1,12.06,1.5,27.14,0.01,7,0.67,1.51,-365.99,1,0,0,5,0.06,3,4,3,3,18,33.33,3,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,3,2,0,1,0,2,0.29,0,0,2,1,7,1,0,7,1,15.92,6.29,629.06,0.03,24,0.16,34.95,208.71,0.5,0,0,7,0.2,8,16,7,11,10,12.5,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,5,2,0,0,0,3,0.5,0,0,3,1,8,3,1,6,0,19.38,5.06,496.63,0.03,24,0.2,27.59,510.38,1,0,0,7,0.3,9,15,8,9,10,0,6,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,1,0,0,0,0,1,0.5,0,0,1,1,1,1,0,2,0,12.06,1.5,27.14,0.01,7,0.67,1.51,-952,1,0,0,2,0.25,3,4,3,3,4,0,2,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,1,0,0,0,2,1,0,0,1,0.5,7,1,0,0,2,0,0,0,0,0,0,0,778.22,0.5,0,0,7,0.13,0,0,0,0,15,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,1,0,0,0,2,1,0,0,1,0.5,6,1,0,0,1,0,0,0,0,0,0,0,-225.3,0.5,0,0,6,0.29,0,0,0,0,7,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,1,1,0,0,0,1,0.5,0,0,1,1,2,1,0,2,1,7.75,2,31.02,0.01,6,0.5,1.72,-733.47,1,0,0,3,0.17,2,4,2,4,6,0,2,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,1,9.51,4,152.16,0.01,12,0.25,8.45,1005.13,1,0,0,3,0.2,4,8,3,6,5,0,3,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,0,2,0,4,2,0.29,2,2,1,0.5,6,1,0,5,3,12.44,9,1008,0.04,28,0.11,56,464.26,0.5,1,2,6,0.18,14,14,7,9,11,28.57,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
3,7,2,20,5,12,4,0.18,6,2,4,1,15,1,0,2,0,21.59,13.59,3988.08,0.1,64,0.07,221.56,189.04,0.25,3,6,13,0.13,23,41,11,13,32,92.59,22,"TRUE","pc4","HALSTEAD_VOLUME",0.6
14,25,9,11,16,44,13,0.21,20,2,6,0.46,54,5,0,52,0,27.67,49.46,67672.14,0.46,245,0.02,3759.56,1424.78,0.38,12,22,43,0.14,91,154,23,25,95,34.18,63,"TRUE","pc4","HALSTEAD_VOLUME",0.6
0,1,1,0,0,0,1,0.5,0,0,1,1,2,1,0,2,1,5.89,7,288.46,0.01,13,0.14,16.03,45.78,1,0,0,3,0.25,4,9,2,7,4,0,2,"FALSE","pc4","HALSTEAD_VOLUME",0.6
5,3,3,0,0,4,2,0.12,2,2,2,1,9,1,0,17,1,21.41,11.11,2643.15,0.08,56,0.09,146.84,977.73,0.5,1,2,9,0.08,20,36,9,10,24,0,17,"FALSE","pc4","HALSTEAD_VOLUME",0.6
37,48,0,1,48,0,27,0.23,0,0,1,0.04,93,13,0,115,4,74.42,39.83,118062.58,0.99,482,0.03,6559.03,2303.03,0.48,0,0,68,0.13,156,326,47,24,203,29.88,116,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,1,0,0,1,0,1,0.07,0,0,1,1,1,1,0,14,2,20.1,20,8039.07,0.13,121,0.05,446.61,-1252.96,1,0,0,2,0.05,60,61,6,4,20,6.67,14,"FALSE","pc4","HALSTEAD_VOLUME",0.6
7,5,1,2,2,8,3,0.27,4,2,2,0.67,9,1,0,9,0,10.83,19.25,4012.87,0.07,51,0.05,222.94,79.1,0.33,2,4,8,0.14,21,30,6,11,22,30.77,11,"FALSE","pc4","HALSTEAD_VOLUME",0.6
4,3,1,2,1,4,2,0.2,2,2,2,1,7,1,0,8,0,13.65,11,1651.29,0.05,36,0.09,91.74,167.11,0.5,1,2,7,0.12,14,22,7,11,17,27.27,10,"FALSE","pc4","HALSTEAD_VOLUME",0.6
25,15,14,9,5,26,8,0.1,12,2,6,0.75,47,4,0,73,2,76.97,31.91,78348.5,0.82,398,0.03,4352.69,2685.24,0.5,7,13,41,0.07,178,220,53,19,115,16.09,82,"TRUE","pc4","HALSTEAD_VOLUME",0.6
4,1,0,0,2,0,1,0.17,0,0,1,1,1,1,0,6,0,16.85,8.57,1237.97,0.05,34,0.12,68.78,-653.98,1,0,0,2,0.07,10,24,7,12,14,25,6,"FALSE","pc4","HALSTEAD_VOLUME",0.6
3,7,2,2,3,10,4,0.33,4,2,3,0.75,12,4,1,10,5,21,15,4723.94,0.1,67,0.07,262.44,-149.72,1,3,5,10,0.18,30,37,13,13,22,33.33,12,"FALSE","pc4","HALSTEAD_VOLUME",0.6
5,3,1,0,2,4,2,0.13,2,2,1,0.5,6,1,0,16,1,24.76,11,2995.56,0.09,62,0.09,166.42,-340.13,0.5,1,2,6,0.08,20,42,10,11,25,11.11,16,"FALSE","pc4","HALSTEAD_VOLUME",0.6
21,11,3,0,58,20,6,0.12,10,2,2,0.33,30,1,0,51,1,43.73,22.81,22757.22,0.33,175,0.04,1264.29,1145.11,0.17,5,10,26,0.05,73,102,32,20,132,53.21,51,"FALSE","pc4","HALSTEAD_VOLUME",0.6
5,1,0,0,0,0,1,0.17,0,0,1,1,1,1,0,6,0,21.49,6.6,936.12,0.05,41,0.15,52.01,-239.96,1,0,0,2,0.08,11,30,5,6,13,0,6,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,5,2,0,0,0,3,1,0,0,2,0.67,11,3,1,0,2,0,0,0,0,0,0,0,263.67,1,0,0,10,0.3,0,0,0,0,10,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
4,1,2,0,1,0,1,0.25,0,0,1,1,3,1,0,4,2,19.03,4.08,317.31,0.03,21,0.24,17.63,-141.7,1,0,0,4,0.08,7,14,6,7,12,20,4,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,1,1,1,0,0,1,0.2,0,0,1,1,2,1,0,4,1,15.86,3.5,194.27,0.02,15,0.29,10.79,-1007.68,1,0,0,3,0.11,6,9,6,7,9,20,5,"FALSE","pc4","HALSTEAD_VOLUME",0.6
29,7,1,10,30,12,4,0.1,6,2,4,1,42,1,0,31,0,90.42,23.23,48777.92,0.7,392,0.04,2709.88,1217.4,0.25,3,6,40,0.04,144,248,31,10,102,56.34,41,"TRUE","pc4","HALSTEAD_VOLUME",0.6
1,1,1,0,0,0,1,0.2,0,0,1,1,2,1,0,5,0,14.98,6,539.15,0.03,23,0.17,29.95,-664.04,1,0,0,3,0.13,6,17,5,10,8,0,5,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,13,0,1,2,24,7,0.7,12,2,1,0.14,31,1,0,9,0,13.5,17,3900.44,0.08,64,0.06,216.69,243.81,0.14,6,12,26,0.5,34,30,6,6,14,25,10,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,17,2,0,0,0,9,0.47,0,0,4,0.44,32,6,0,19,0,29.58,26.25,20382.96,0.26,144,0.04,1132.39,283.09,0.67,0,0,25,0.41,70,74,24,18,22,0,19,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,1,0,0,0,0,1,0.5,0,0,1,1,1,1,0,2,0,5.8,2,23.22,0,5,0.5,1.29,-313.96,1,0,0,2,0.2,1,4,1,4,5,0,2,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,1,1,0,1,0,1,0.5,0,0,1,1,2,1,0,2,0,5.33,1.5,12,0,4,0.67,0.67,91.23,1,0,0,3,0.14,1,3,1,3,7,33.33,2,"FALSE","pc4","HALSTEAD_VOLUME",0.6
10,15,2,3,9,24,8,0.32,10,2,4,0.5,26,1,0,22,0,15.63,41.67,27127.69,0.22,142,0.02,1507.09,566.75,0.13,7,12,20,0.17,50,92,9,15,46,35.29,25,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,15,1,5,5,0,9,0.31,0,0,4,0.44,35,4,0,24,0,31.55,35.27,39260.76,0.37,190,0.03,2181.15,286.13,0.44,0,0,28,0.25,81,109,31,27,36,29.41,29,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,1,2,2,0,0,1,0.2,0,0,1,1,3,1,0,3,1,11.59,4.38,221.89,0.02,16,0.23,12.33,260.36,1,0,0,4,0.11,7,9,4,5,9,40,5,"FALSE","pc4","HALSTEAD_VOLUME",0.6
6,3,0,0,3,4,2,0.22,2,2,1,0.5,6,1,0,9,1,14.18,10,1417.77,0.05,34,0.1,78.77,-332.27,0.5,1,2,6,0.1,10,24,6,12,20,25,9,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,1,0,0,4,2,0.33,2,2,2,1,5,1,0,6,1,18.96,7.64,1105.39,0.05,32,0.13,61.41,658.27,0.5,1,2,5,0.25,14,18,11,12,8,0,6,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,3,0,0,0,0,2,0.4,0,0,1,0.5,5,1,0,5,1,13.33,7.5,750,0.03,25,0.13,41.67,-516.2,0.5,0,0,5,0.29,9,16,6,10,7,0,5,"FALSE","pc4","HALSTEAD_VOLUME",0.6
5,1,1,0,0,0,1,0.1,0,0,1,1,2,1,0,10,1,19.62,8.36,1370.57,0.05,41,0.12,76.14,-1114.14,1,0,0,3,0.06,13,28,7,9,17,0,10,"FALSE","pc4","HALSTEAD_VOLUME",0.6
0,3,2,0,0,0,2,1,0,0,2,1,7,1,0,0,1,0,0,0,0,0,0,0,-417.42,0.5,0,0,7,0.12,0,0,0,0,17,0,0,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,7,2,0,0,0,4,0.36,0,0,1,0.25,15,1,0,11,2,14.12,15,3176.62,0.07,49,0.07,176.48,401.99,0.25,0,0,13,0.27,20,29,8,12,15,0,11,"FALSE","pc4","HALSTEAD_VOLUME",0.6
7,1,2,0,7,0,1,0.17,0,0,1,1,5,1,0,6,0,24.59,4.05,405.89,0.03,27,0.25,22.55,-803.54,1,0,0,6,0.05,13,14,8,5,22,53.85,6,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,3,0,0,0,4,2,0.29,2,2,1,0.5,6,1,0,7,0,12.33,7.2,639.44,0.03,24,0.14,35.52,151.62,0.5,1,2,6,0.2,9,15,5,8,10,0,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,5,1,0,1,0,3,0.43,0,0,2,0.67,10,3,1,7,0,11.71,9.43,1041.34,0.04,26,0.11,57.85,493.23,1,0,0,9,0.3,11,15,7,12,10,12.5,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
2,1,3,0,6,0,1,0.07,0,0,1,1,10,1,0,14,0,41.04,6.42,1689.97,0.09,62,0.16,93.89,1531.56,1,0,0,11,0.04,22,40,12,7,24,30,14,"FALSE","pc4","HALSTEAD_VOLUME",0.6
31,23,15,11,17,42,12,0.14,20,2,10,0.83,61,4,0,74,0,71.39,24.46,42701.09,0.58,291,0.04,2372.28,3132.91,0.33,11,21,51,0.09,125,166,46,18,135,27.45,85,"TRUE","pc4","HALSTEAD_VOLUME",0.6
4,3,2,0,0,4,2,0.22,2,2,2,1,6,1,0,9,1,16.18,6.43,668.57,0.03,26,0.16,37.14,880.37,0.5,1,2,6,0.13,10,16,7,9,16,0,9,"FALSE","pc4","HALSTEAD_VOLUME",0.6
3,3,0,0,0,4,2,0.15,2,2,1,0.5,6,1,0,13,0,12.62,8.8,976.92,0.04,30,0.11,54.27,520.5,0.5,1,2,6,0.11,11,19,5,8,19,0,13,"FALSE","pc4","HALSTEAD_VOLUME",0.6
3,1,1,0,0,0,1,0.14,0,0,1,1,2,1,0,7,5,22.72,7.56,1297.09,0.06,42,0.13,72.06,1106.02,1,0,0,3,0.06,17,25,9,8,16,0,7,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,7,0,0,0,0,4,0.16,0,0,1,0.25,14,1,0,25,1,32.68,28,25622.15,0.31,177,0.04,1423.45,588.2,0.25,0,0,12,0.14,56,121,18,18,28,0,25,"FALSE","pc4","HALSTEAD_VOLUME",0.6
1,5,2,0,0,0,3,0.6,0,0,3,1,9,1,0,5,0,17.03,4,272.46,0.02,19,0.25,15.14,-1427.38,0.33,0,0,8,0.38,8,11,6,6,8,0,5,"FALSE","pc4","HALSTEAD_VOLUME",0.6
9,11,3,16,7,20,6,0.13,10,2,2,0.33,25,1,0,31,1,33.43,24.17,19526.57,0.27,148,0.04,1084.81,1422.97,0.17,5,10,21,0.09,58,90,24,20,65,42.59,47,"TRUE","pc4","HALSTEAD_VOLUME",0.6
15,3,1,6,8,4,2,0.05,2,2,2,1,7,1,0,31,0,36.01,29.66,31674.07,0.36,205,0.03,1759.67,1464.54,0.5,1,2,7,0.03,87,118,22,15,62,31.11,37,"FALSE","pc4","HALSTEAD_VOLUME",0.6
20,7,6,11,8,4,5,0.13,2,2,5,1,21,1,0,29,0,43.45,17.02,12581.62,0.25,131,0.06,698.98,1149.89,0.2,1,2,18,0.07,47,84,29,21,70,39.58,40,"TRUE","pc4","HALSTEAD_VOLUME",0.6
7,29,3,7,14,0,15,0.47,0,0,5,0.33,63,9,0,25,0,32.32,33.06,35331.2,0.36,184,0.03,1962.84,1471.85,0.6,0,0,50,0.27,82,102,31,25,55,45.65,32,"FALSE","pc4","HALSTEAD_VOLUME",0.6
7,3,0,1,0,4,2,0.13,2,2,1,0.5,6,1,0,14,6,20.48,14.77,4470.34,0.1,66,0.07,248.35,-1198.7,0.5,1,2,6,0.07,25,41,11,13,30,6.67,15,"TRUE","pc4","HALSTEAD_VOLUME",0.6
