dataset,method,noise_levels,instance_level,original_kappa_loss,train_noise_kappa_loss,kappa_loss_diff,original_accuracy,train_noise_accuracy,accuracy_diff
analcatdata_authorship,PART,0.1,0.7,0.008,0.008,0,0.996,0.996,0
analcatdata_authorship,PART,0.1,0.75,0.008,0.008,0,0.996,0.996,0
analcatdata_authorship,PART,0.1,0.8,0.008,0.008,0,0.996,0.996,0
analcatdata_authorship,PART,0.1,0.9,0.008,0.01,0.002,0.996,0.995,-0.001
analcatdata_authorship,PART,0.1,1,0.008,0.01,0.002,0.996,0.995,-0.001
analcatdata_authorship,PART,0.2,0.1,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,PART,0.2,0.2,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,PART,0.2,0.25,0.003,0.013,0.01,0.999,0.994,-0.005
analcatdata_authorship,PART,0.2,0.3,0.003,0.013,0.01,0.999,0.994,-0.005
analcatdata_authorship,PART,0.2,0.4,0.003,0.013,0.01,0.999,0.994,-0.005
analcatdata_authorship,PART,0.2,0.5,0.005,0.013,0.008,0.998,0.994,-0.004
analcatdata_authorship,PART,0.2,0.6,0.008,0.013,0.005,0.996,0.994,-0.002
analcatdata_authorship,PART,0.2,0.7,0.01,0.013,0.003,0.995,0.994,-0.001
analcatdata_authorship,PART,0.2,0.75,0.01,0.013,0.003,0.995,0.994,-0.001
analcatdata_authorship,PART,0.2,0.8,0.01,0.013,0.003,0.995,0.994,-0.001
analcatdata_authorship,PART,0.2,0.9,0.01,0.015,0.005,0.995,0.993,-0.002
analcatdata_authorship,PART,0.2,1,0.016,0.015,-0.001,0.993,0.993,0
analcatdata_authorship,PART,0.3,0.1,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,PART,0.3,0.2,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,PART,0.3,0.25,0.008,0,-0.008,0.996,1,0.004
analcatdata_authorship,PART,0.3,0.3,0.01,0,-0.01,0.995,1,0.005
analcatdata_authorship,PART,0.3,0.4,0.013,0,-0.013,0.994,1,0.006
analcatdata_authorship,PART,0.3,0.5,0.02,0,-0.02,0.99,1,0.01
analcatdata_authorship,PART,0.3,0.6,0.026,0.003,-0.023,0.988,0.999,0.011
analcatdata_authorship,PART,0.3,0.7,0.026,0.005,-0.021,0.988,0.998,0.01
analcatdata_authorship,PART,0.3,0.75,0.026,0.005,-0.021,0.988,0.998,0.01
analcatdata_authorship,PART,0.3,0.8,0.031,0.005,-0.026,0.986,0.998,0.012
analcatdata_authorship,PART,0.3,0.9,0.033,0.01,-0.023,0.985,0.995,0.01
analcatdata_authorship,PART,0.3,1,0.038,0.01,-0.028,0.982,0.995,0.013
analcatdata_authorship,bayesglm,0.1,0.1,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.2,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.25,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.3,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.4,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.5,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.6,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.7,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.75,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.8,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,0.9,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.1,1,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.1,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.2,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.25,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.3,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.4,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.5,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.6,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.7,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.75,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.8,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.2,0.9,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,bayesglm,0.2,1,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,bayesglm,0.3,0.1,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.3,0.2,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.3,0.25,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.3,0.3,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.3,0.4,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.3,0.5,0,0,0,1,1,0
analcatdata_authorship,bayesglm,0.3,0.6,0,0.005,0.005,1,0.998,-0.002
analcatdata_authorship,bayesglm,0.3,0.7,0,0.005,0.005,1,0.998,-0.002
analcatdata_authorship,bayesglm,0.3,0.75,0,0.005,0.005,1,0.998,-0.002
analcatdata_authorship,bayesglm,0.3,0.8,0,0.005,0.005,1,0.998,-0.002
analcatdata_authorship,bayesglm,0.3,0.9,0,0.005,0.005,1,0.998,-0.002
analcatdata_authorship,bayesglm,0.3,1,0,0.005,0.005,1,0.998,-0.002
analcatdata_authorship,ctree,0.1,0.1,0,0,0,1,1,0
analcatdata_authorship,ctree,0.1,0.2,0.013,0,-0.013,0.994,1,0.006
analcatdata_authorship,ctree,0.1,0.25,0.013,0,-0.013,0.994,1,0.006
analcatdata_authorship,ctree,0.1,0.3,0.013,0,-0.013,0.994,1,0.006
analcatdata_authorship,ctree,0.1,0.4,0.015,0,-0.015,0.993,1,0.007
analcatdata_authorship,ctree,0.1,0.5,0.015,0,-0.015,0.993,1,0.007
analcatdata_authorship,ctree,0.1,0.6,0.018,0,-0.018,0.992,1,0.008
analcatdata_authorship,ctree,0.1,0.7,0.023,0,-0.023,0.989,1,0.011
analcatdata_authorship,ctree,0.1,0.75,0.028,0.003,-0.025,0.987,0.999,0.012
analcatdata_authorship,ctree,0.1,0.8,0.028,0.005,-0.023,0.987,0.998,0.011
analcatdata_authorship,ctree,0.1,0.9,0.028,0.008,-0.02,0.987,0.996,0.009
analcatdata_authorship,ctree,0.1,1,0.028,0.01,-0.018,0.987,0.995,0.008
analcatdata_authorship,ctree,0.2,0.1,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,ctree,0.2,0.2,0.01,0.008,-0.002,0.995,0.996,0.001
analcatdata_authorship,ctree,0.2,0.25,0.013,0.01,-0.003,0.994,0.995,0.001
analcatdata_authorship,ctree,0.2,0.3,0.013,0.01,-0.003,0.994,0.995,0.001
analcatdata_authorship,ctree,0.2,0.4,0.018,0.013,-0.005,0.992,0.994,0.002
analcatdata_authorship,ctree,0.2,0.5,0.018,0.015,-0.003,0.992,0.993,0.001
analcatdata_authorship,ctree,0.2,0.6,0.02,0.02,0,0.991,0.99,-0.001
analcatdata_authorship,ctree,0.2,0.7,0.025,0.02,-0.005,0.988,0.99,0.002
analcatdata_authorship,ctree,0.2,0.75,0.035,0.02,-0.015,0.983,0.99,0.007
analcatdata_authorship,ctree,0.2,0.8,0.035,0.02,-0.015,0.983,0.99,0.007
analcatdata_authorship,ctree,0.2,0.9,0.038,0.028,-0.01,0.982,0.987,0.005
analcatdata_authorship,ctree,0.2,1,0.038,0.033,-0.005,0.982,0.985,0.003
analcatdata_authorship,ctree,0.3,0.1,0,0.008,0.008,1,0.996,-0.004
analcatdata_authorship,ctree,0.3,0.2,0.008,0.016,0.008,0.996,0.993,-0.003
analcatdata_authorship,ctree,0.3,0.25,0.01,0.021,0.011,0.995,0.99,-0.005
analcatdata_authorship,ctree,0.3,0.3,0.01,0.023,0.013,0.995,0.989,-0.006
analcatdata_authorship,ctree,0.3,0.4,0.015,0.034,0.019,0.993,0.985,-0.008
analcatdata_authorship,ctree,0.3,0.5,0.018,0.036,0.018,0.992,0.983,-0.009
analcatdata_authorship,ctree,0.3,0.6,0.02,0.041,0.021,0.99,0.981,-0.009
analcatdata_authorship,ctree,0.3,0.7,0.025,0.044,0.019,0.988,0.98,-0.008
analcatdata_authorship,ctree,0.3,0.75,0.03,0.044,0.014,0.986,0.98,-0.006
analcatdata_authorship,ctree,0.3,0.8,0.03,0.044,0.014,0.986,0.98,-0.006
analcatdata_authorship,ctree,0.3,0.9,0.03,0.049,0.019,0.986,0.977,-0.009
analcatdata_authorship,ctree,0.3,1,0.038,0.054,0.016,0.982,0.975,-0.007
analcatdata_authorship,fda,0.1,0.1,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.2,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.25,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.3,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.4,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.5,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.6,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.7,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.75,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.8,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,0.9,0,0,0,1,1,0
analcatdata_authorship,fda,0.1,1,0,0,0,1,1,0
analcatdata_authorship,fda,0.2,0.1,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,fda,0.2,0.2,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.2,0.25,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.2,0.3,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.2,0.4,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.2,0.5,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.2,0.6,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.2,0.7,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,fda,0.2,0.75,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,fda,0.2,0.8,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,fda,0.2,0.9,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,fda,0.2,1,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,fda,0.3,0.1,0,0,0,1,1,0
analcatdata_authorship,fda,0.3,0.2,0,0,0,1,1,0
analcatdata_authorship,fda,0.3,0.25,0,0,0,1,1,0
analcatdata_authorship,fda,0.3,0.3,0,0,0,1,1,0
analcatdata_authorship,fda,0.3,0.4,0,0,0,1,1,0
analcatdata_authorship,fda,0.3,0.5,0,0,0,1,1,0
analcatdata_authorship,fda,0.3,0.6,0,0,0,1,1,0
analcatdata_authorship,fda,0.3,0.7,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.3,0.75,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.3,0.8,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.3,0.9,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,fda,0.3,1,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,gbm,0.1,0.1,0,0,0,1,1,0
analcatdata_authorship,gbm,0.1,0.2,0,0,0,1,1,0
analcatdata_authorship,gbm,0.1,0.25,0,0,0,1,1,0
analcatdata_authorship,gbm,0.1,0.3,0,0,0,1,1,0
analcatdata_authorship,gbm,0.1,0.4,0,0,0,1,1,0
analcatdata_authorship,gbm,0.1,0.5,0,0,0,1,1,0
analcatdata_authorship,gbm,0.1,0.6,0,0,0,1,1,0
analcatdata_authorship,gbm,0.1,0.7,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gbm,0.1,0.75,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gbm,0.1,0.8,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gbm,0.1,0.9,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gbm,0.1,1,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gbm,0.2,0.1,0,0,0,1,1,0
analcatdata_authorship,gbm,0.2,0.2,0,0,0,1,1,0
analcatdata_authorship,gbm,0.2,0.25,0,0,0,1,1,0
analcatdata_authorship,gbm,0.2,0.3,0,0,0,1,1,0
analcatdata_authorship,gbm,0.2,0.4,0,0,0,1,1,0
analcatdata_authorship,gbm,0.2,0.5,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,gbm,0.2,0.6,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,gbm,0.2,0.7,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,gbm,0.2,0.75,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,gbm,0.2,0.8,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,gbm,0.2,0.9,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,gbm,0.2,1,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,gbm,0.3,0.1,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.2,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.25,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.3,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.4,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.5,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.6,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.7,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.75,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.8,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,0.9,0,0,0,1,1,0
analcatdata_authorship,gbm,0.3,1,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gcvEarth,0.1,0.1,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.1,0.2,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.1,0.25,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.1,0.3,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.1,0.4,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gcvEarth,0.1,0.5,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.1,0.6,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.1,0.7,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.1,0.75,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.1,0.8,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.1,0.9,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.1,1,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.2,0.1,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.2,0.2,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.2,0.25,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.2,0.3,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.2,0.4,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,gcvEarth,0.2,0.5,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.2,0.6,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.2,0.7,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,gcvEarth,0.2,0.75,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,gcvEarth,0.2,0.8,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,gcvEarth,0.2,0.9,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,gcvEarth,0.2,1,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,gcvEarth,0.3,0.1,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.3,0.2,0,0,0,1,1,0
analcatdata_authorship,gcvEarth,0.3,0.25,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,gcvEarth,0.3,0.3,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,gcvEarth,0.3,0.4,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,gcvEarth,0.3,0.5,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,gcvEarth,0.3,0.6,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,gcvEarth,0.3,0.7,0.008,0.005,-0.003,0.996,0.998,0.002
analcatdata_authorship,gcvEarth,0.3,0.75,0.008,0.005,-0.003,0.996,0.998,0.002
analcatdata_authorship,gcvEarth,0.3,0.8,0.008,0.005,-0.003,0.996,0.998,0.002
analcatdata_authorship,gcvEarth,0.3,0.9,0.008,0.005,-0.003,0.996,0.998,0.002
analcatdata_authorship,gcvEarth,0.3,1,0.013,0.005,-0.008,0.994,0.998,0.004
analcatdata_authorship,knn,0.1,0.1,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.2,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.25,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.3,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.4,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.5,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.6,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.7,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.75,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.8,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,0.9,0,0,0,1,1,0
analcatdata_authorship,knn,0.1,1,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.1,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.2,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.25,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.3,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.4,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.5,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.6,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.7,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.75,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.8,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,0.9,0,0,0,1,1,0
analcatdata_authorship,knn,0.2,1,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.1,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.2,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.25,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.3,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.4,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.5,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.6,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.7,0,0,0,1,1,0
analcatdata_authorship,knn,0.3,0.75,0.002,0,-0.002,0.999,1,0.001
analcatdata_authorship,knn,0.3,0.8,0.002,0,-0.002,0.999,1,0.001
analcatdata_authorship,knn,0.3,0.9,0.002,0,-0.002,0.999,1,0.001
analcatdata_authorship,knn,0.3,1,0.002,0.002,0,0.999,0.999,0
analcatdata_authorship,lvq,0.1,0.1,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.2,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.25,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.3,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.4,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.5,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.6,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.7,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.75,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.8,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,0.9,0,0,0,1,1,0
analcatdata_authorship,lvq,0.1,1,0,0,0,1,1,0
analcatdata_authorship,lvq,0.2,0.1,0,0,0,1,1,0
analcatdata_authorship,lvq,0.2,0.2,0,0,0,1,1,0
analcatdata_authorship,lvq,0.2,0.25,0,0,0,1,1,0
